word,sentiments,size
ETF,NULL,1925
台股,NULL,1350
投資,NULL,1006
市場,NULL,969
指數,NULL,901
台灣,NULL,895
億元,NULL,876
股息,NULL,739
投信,NULL,709
高息,NULL,676
投資人,NULL,675
AI,NULL,640
外資,NULL,613
股價,NULL,612
配息,NULL,583
買超,NULL,567
表示,NULL,538
今年,NULL,512
資金,NULL,499
個股,NULL,493
10,NULL,492
台積電,NULL,486
00940,NULL,478
元大,NULL,439
持續,NULL,428
表現,NULL,408
成長,NULL,403
上漲,NULL,393
成分股,NULL,393
美國,NULL,379
半導體,NULL,376
基金,NULL,359
預期,NULL,325
去年,NULL,316
建議,NULL,313
規模,NULL,310
獲利,NULL,304
上市,NULL,302
目前,NULL,299
法人,NULL,292
賣超,NULL,289
殖利率,NULL,288
新高,NULL,284
長榮,NULL,279
公司,NULL,269
00919,NULL,268
募集,NULL,266
產業,NULL,265
近期,NULL,258
股利,NULL,258
相關,NULL,257
金融,NULL,253
動能,NULL,252
降息,NULL,246
掛牌,NULL,245
群益,NULL,245
15,NULL,244
美股,NULL,239
指出,NULL,239
族群,NULL,237
統一,NULL,236
大漲,NULL,232
20,NULL,232
價值,NULL,231
漲幅,NULL,230
萬張,NULL,230
股票,NULL,228
證券,NULL,228
00939,NULL,225
超過,NULL,225
震盪,NULL,223
利率,NULL,220
鴻海,NULL,216
歷史,NULL,213
科技,NULL,211
金額,NULL,209
帶動,NULL,206
全球,NULL,206
下跌,NULL,205
包括,NULL,200
投顧,NULL,197
評估,NULL,192
營收,NULL,192
萬點,NULL,192
參考,NULL,190
申購,NULL,189
內容,NULL,188
認為,NULL,187
美元,NULL,186
股市,NULL,183
機會,NULL,183
主要,NULL,182
累計,NULL,181
今日,NULL,181
今天,NULL,181
債券,NULL,178
現金,NULL,177
公布,NULL,177
影響,NULL,174
shutterstock,NULL,173
未來,NULL,172
示意圖,NULL,172
審慎,NULL,172
三大,NULL,171
大盤,NULL,171
時報,NULL,171
達志,NULL,170
交易,NULL,168
台北,NULL,168
產品,NULL,167
判斷,NULL,164
增加,NULL,164
出現,NULL,164
行情,NULL,161
觀察,NULL,161
聯發科,NULL,160
聯準會,NULL,159
政策,NULL,159
銀行,NULL,159
影像,NULL,158
聲明,NULL,158
需求,NULL,158
成為,NULL,158
維持,NULL,158
國泰,NULL,157
發展,NULL,156
精選,NULL,156
經濟,NULL,155
企業,NULL,155
成交量,NULL,154
預估,NULL,153
央行,NULL,153
輝達,NULL,153
填息,NULL,151
相對,NULL,151
凱基,NULL,149
聯電,NULL,149
類股,NULL,149
文中,NULL,148
盈虧,NULL,148
免責,NULL,147
資產,NULL,145
升息,NULL,145
短線,NULL,143
日本,NULL,143
趨勢,NULL,142
18,NULL,141
收盤,NULL,140
透過,NULL,139
提供,NULL,139
金融股,NULL,138
金管會,NULL,136
買進,NULL,135
留意,NULL,135
關注,NULL,134
收益,NULL,134
統計,NULL,134
顯示,NULL,133
進場,NULL,131
操作,NULL,131
淨值,NULL,131
突破,NULL,130
電子,NULL,128
11,NULL,128
買盤,NULL,128
數據,NULL,127
高達,NULL,126
價格,NULL,124
12,NULL,124
2024,NULL,124
布局,NULL,123
連續,NULL,122
富邦,NULL,121
多頭,NULL,120
持股,NULL,120
臺灣,NULL,119
EPS,NULL,119
網友,NULL,118
高點,NULL,118
來到,NULL,118
2023,NULL,118
30,NULL,118
分析,NULL,117
配發,NULL,117
國內,NULL,115
創新高,NULL,114
中國,NULL,114
管理,NULL,114
加碼,NULL,114
通膨,NULL,113
晶片,NULL,113
權重,NULL,112
收在,NULL,111
標的,NULL,110
盤中,NULL,110
紀錄,NULL,110
期貨,NULL,110
可望,NULL,109
長期,NULL,109
過去,NULL,108
平均,NULL,108
周五,NULL,108
配息率,NULL,106
資料,NULL,105
伺服器,NULL,105
穩定,NULL,105
自營商,NULL,104
預計,NULL,104
進行,NULL,103
提醒,NULL,103
時間,NULL,103
19,NULL,102
中信,NULL,102
服務,NULL,102
加權,NULL,101
一度,NULL,100
看好,NULL,100
分析師,NULL,99
13,NULL,99
商品,NULL,99
供應鏈,NULL,99
市值,NULL,99
高檔,NULL,98
指標,NULL,97
客戶,NULL,96
漲停,NULL,96
進入,NULL,94
現在,NULL,93
比特幣,NULL,93
參與,NULL,93
終場,NULL,92
中信金,NULL,92
技術,NULL,92
緯創,NULL,92
復華,NULL,91
萬元,NULL,91
創下,NULL,91
14,NULL,91
除息,NULL,90
公告,NULL,90
國際,NULL,90
有望,NULL,90
基本面,NULL,90
發行,NULL,90
景氣,NULL,89
名為,NULL,89
科技股,NULL,87
營運,NULL,87
持有,NULL,87
早盤,NULL,86
合計,NULL,86
宣布,NULL,86
重電,NULL,86
應用,NULL,85
報導,NULL,85
上游,NULL,85
成立,NULL,85
同步,NULL,84
題材,NULL,84
經理人,NULL,84
追蹤,NULL,83
每股,NULL,83
十大,NULL,83
創高,NULL,83
熱潮,NULL,82
50,NULL,82
永續,NULL,82
GTC,NULL,82
短期,NULL,81
整理,NULL,81
最後,NULL,80
資本,NULL,80
本周,NULL,80
關鍵,NULL,80
25,NULL,80
高於,NULL,79
報酬,NULL,79
大幅,NULL,79
呈現,NULL,79
100,NULL,79
大關,NULL,79
散熱,NULL,78
大會,NULL,78
定存,NULL,78
開發金,NULL,78
新台幣,NULL,78
計算,NULL,77
波動,NULL,77
盤面,NULL,77
後續,NULL,76
資訊,NULL,76
能力,NULL,76
拉回,NULL,76
廣達,NULL,76
16,NULL,75
受益人,NULL,75
選股,NULL,75
跌破,NULL,75
業者,NULL,75
2330,NULL,75
存股,NULL,75
方面,NULL,75
均線,NULL,75
四大,NULL,75
跌幅,NULL,75
年化,NULL,74
人數,NULL,74
進一步,NULL,74
推出,NULL,74
300,NULL,74
月底,NULL,73
策略,NULL,73
董事長,NULL,72
定期,NULL,72
500,NULL,72
萬人,NULL,71
推升,NULL,71
修正,NULL,71
情況,NULL,71
站上,NULL,70
報酬率,NULL,70
空間,NULL,70
編輯,NULL,70
再度,NULL,70
權值股,NULL,69
漲多,NULL,69
理財,NULL,68
完成,NULL,68
為主,NULL,68
發行價,NULL,67
回檔,NULL,67
概念股,NULL,67
明顯,NULL,67
群光,NULL,67
中心,NULL,65
貨幣,NULL,65
交易日,NULL,65
人工,NULL,65
永豐,NULL,65
期間,NULL,65
展望,NULL,65
優息,NULL,64
強化,NULL,64
英業達,NULL,64
周增,NULL,64
選擇,NULL,64
強調,NULL,64
調整,NULL,64
工業,NULL,64
配置,NULL,63
包含,NULL,63
集團,NULL,63
兆元,NULL,63
記者,NULL,63
評價,NULL,63
集中,NULL,63
設備,NULL,62
走勢,NULL,62
狀況,NULL,62
收盤價,NULL,62
2317,NULL,61
電子股,NULL,61
Fed,NULL,61
定額,NULL,61
提升,NULL,60
聚焦,NULL,60
焦點,NULL,60
將於,NULL,60
21,NULL,59
漢唐,NULL,59
溢價,NULL,59
領息,NULL,59
電價,NULL,59
000,NULL,59
造成,NULL,59
海外,NULL,59
機制,NULL,58
青睞,NULL,58
目標,NULL,58
納入,NULL,58
注意,NULL,58
掌握,NULL,58
正式,NULL,58
龍頭,NULL,58
每月,NULL,58
走高,NULL,58
成本,NULL,58
銷售,NULL,58
報告,NULL,57
專家,NULL,57
機構,NULL,57
後市,NULL,57
來源,NULL,57
00929,NULL,57
ESG,NULL,56
人氣,NULL,56
櫃買,NULL,56
因素,NULL,56
00878,NULL,56
考量,NULL,55
成交,NULL,55
200,NULL,55
成份股,NULL,55
美債,NULL,55
29,NULL,55
輪動,NULL,55
直接,NULL,55
循環,NULL,54
建倉,NULL,54
券商,NULL,54
平準,NULL,53
兩檔,NULL,53
上周,NULL,53
效應,NULL,53
ETF00940,NULL,53
日月光,NULL,53
賣壓,NULL,53
昨日,NULL,53
元大金,NULL,53
17,NULL,52
億美,NULL,52
價差,NULL,52
分配,NULL,52
變化,NULL,52
技術面,NULL,52
最多,NULL,52
先進,NULL,52
國泰金,NULL,52
方式,NULL,52
日前,NULL,52
規範,NULL,52
平台,NULL,52
合作,NULL,51
掀起,NULL,51
淨利,NULL,51
鈊象,NULL,51
快速,NULL,51
業績,NULL,51
金控,NULL,51
民眾,NULL,51
上升,NULL,51
挹注,NULL,50
一檔,NULL,50
幅度,NULL,50
網路,NULL,50
最大,NULL,50
一年,NULL,50
領域,NULL,50
LINE,NULL,50
00941,NULL,50
官網,NULL,50
大華,NULL,50
黃天牧,NULL,49
公債,NULL,49
下半年,NULL,49
ADR,NULL,49
則是,NULL,49
期待,NULL,49
開高,NULL,49
達到,NULL,49
延續,NULL,49
無法,NULL,49
不斷,NULL,49
會議,NULL,49
28,NULL,49
累積,NULL,49
繼續,NULL,48
32,NULL,48
0056,NULL,48
製程,NULL,48
占比,NULL,48
本益比,NULL,48
業務,NULL,48
揭露,NULL,48
優選,NULL,48
漲勢,NULL,48
2022,NULL,47
年增,NULL,47
27,NULL,47
核心,NULL,47
優利高,NULL,47
22,NULL,47
開盤,NULL,46
蘋果,NULL,46
導致,NULL,46
關卡,NULL,46
財富,NULL,46
便宜,NULL,46
改寫,NULL,46
部位,NULL,46
水準,NULL,46
利多,NULL,46
擴大,NULL,46
再創,NULL,45
財報,NULL,45
昨天,NULL,45
篩選,NULL,45
35,NULL,45
之後,NULL,45
依序為,NULL,45
受益,NULL,45
提高,NULL,45
神基,NULL,45
調漲,NULL,45
設計,NULL,45
績效,NULL,45
Bank,NULL,45
一路,NULL,45
重挫,NULL,45
格局,NULL,45
走揚,NULL,44
第二季,NULL,44
籌碼,NULL,44
帶來,NULL,44
衝上,NULL,43
組合,NULL,43
26,NULL,43
半碼,NULL,43
具有,NULL,43
中美晶,NULL,43
共同,NULL,43
0050,NULL,43
大跌,NULL,43
低於,NULL,43
代表,NULL,43
討論,NULL,43
反彈,NULL,43
同樣,NULL,42
不變,NULL,42
同期,NULL,42
流動性,NULL,42
搭配,NULL,42
開戶,NULL,42
最高,NULL,42
開發,NULL,42
日線,NULL,42
工商時報,NULL,42
盈餘,NULL,42
符合,NULL,42
交易所,NULL,42
陸續,NULL,42
逼近,NULL,42
40,NULL,42
股東,NULL,42
過熱,NULL,41
道瓊,NULL,41
物價,NULL,41
全數,NULL,41
廣告,NULL,41
網紅,NULL,41
手機,NULL,41
上限,NULL,41
官股,NULL,41
啟動,NULL,41
創新,NULL,41
唯一,NULL,41
上櫃,NULL,41
相較,NULL,41
狂潮,NULL,41
一直,NULL,41
謝金河,NULL,40
刷新,NULL,40
八大,NULL,40
主管,NULL,40
鮑爾,NULL,40
2454,NULL,40
加持,NULL,40
中鋼,NULL,40
翻黑,NULL,40
調查,NULL,40
東陽,NULL,40
2303,NULL,40
上攻,NULL,40
財經,NULL,40
需要,NULL,40
特別,NULL,40
日股,NULL,39
投控,NULL,39
房市,NULL,39
單位,NULL,39
之上,NULL,39
避免,NULL,39
現象,NULL,39
證交所,NULL,39
2021,NULL,39
利得,NULL,39
研究,NULL,39
系統,NULL,39
法說,NULL,39
運價,NULL,39
更多,NULL,38
擁有,NULL,38
熱門,NULL,38
24,NULL,38
卡位,NULL,38
退休,NULL,38
帳戶,NULL,38
措施,NULL,38
匯率,NULL,38
旗下,NULL,38
減碼,NULL,38
增長,NULL,38
空單,NULL,38
將在,NULL,37
結構,NULL,37
了結,NULL,37
瑞儀,NULL,37
任珮云,NULL,37
近日,NULL,37
獲得,NULL,37
說明,NULL,37
永豐金,NULL,37
作收,NULL,37
中小型股,NULL,37
透露,NULL,36
2603,NULL,36
電動車,NULL,36
董事會,NULL,36
決策,NULL,36
基期,NULL,36
全面,NULL,36
萬大,NULL,36
首日,NULL,36
訂單,NULL,36
每年,NULL,36
消息,NULL,36
長榮航,NULL,36
上市櫃,NULL,36
楊金龍,NULL,36
薪資,NULL,36
第一季,NULL,36
引發,NULL,36
紛紛,NULL,36
重點,NULL,36
條件,NULL,35
盤勢,NULL,35
神達,NULL,35
23,NULL,35
氣勢,NULL,35
機率,NULL,35
優質,NULL,35
高度,NULL,35
發放,NULL,35
多檔,NULL,35
跳空,NULL,35
主席,NULL,35
決議,NULL,35
要求,NULL,35
結算,NULL,35
預測,NULL,35
交割,NULL,35
成交值,NULL,35
聯詠,NULL,34
左右,NULL,34
降溫,NULL,34
集保,NULL,34
力道,NULL,34
日圓,NULL,34
可期,NULL,34
原因,NULL,34
大陸,NULL,34
大量,NULL,34
過度,NULL,34
航運,NULL,34
兩大,NULL,34
調節,NULL,34
70,NULL,34
特選,NULL,34
具備,NULL,34
低碳,NULL,33
區間,NULL,33
費城,NULL,33
目標價,NULL,33
即時,NULL,33
材料,NULL,33
除權息,NULL,33
意外,NULL,33
一次,NULL,33
貨櫃,NULL,33
多方,NULL,33
多空,NULL,33
商機,NULL,33
鎖定,NULL,33
資金面,NULL,33
尾盤,NULL,33
費半,NULL,33
機器人,NULL,33
首度,NULL,33
庫存,NULL,33
轉為,NULL,33
取得,NULL,33
尤其,NULL,33
公會,NULL,33
信託,NULL,32
天價,NULL,32
比重,NULL,32
話題,NULL,32
下降,NULL,32
就業,NULL,32
反映,NULL,32
400,NULL,32
投等債,NULL,32
擇優,NULL,32
台指,NULL,32
兆豐,NULL,32
爆出,NULL,32
回升,NULL,32
召開,NULL,32
轉向,NULL,32
吸金,NULL,32
散戶,NULL,32
了解,NULL,32
標普,NULL,32
等級,NULL,32
看法,NULL,32
傳出,NULL,32
新普,NULL,32
熱度,NULL,32
超越,NULL,32
力成,NULL,32
效果,NULL,32
世界,NULL,32
生殖,NULL,31
亮眼,NULL,31
Nvidia,NULL,31
敲進,NULL,31
提到,NULL,31
登上,NULL,31
環境,NULL,31
產生,NULL,31
買賣,NULL,31
搶購,NULL,31
波段,NULL,31
平盤,NULL,31
全民,NULL,31
45,NULL,31
落在,NULL,31
作帳,NULL,31
融資,NULL,31
這波,NULL,31
以下,NULL,31
CPI,NULL,31
綠能,NULL,31
名單,NULL,31
契機,NULL,31
史上,NULL,31
衝破,NULL,31
本次,NULL,31
退休金,NULL,31
準備,NULL,31
潛力,NULL,30
內資,NULL,30
零組件,NULL,30
照片,NULL,30
抬轎,NULL,30
之下,NULL,30
財務,NULL,30
結束,NULL,30
媒體,NULL,30
攻上,NULL,30
首檔,NULL,30
晶圓,NULL,30
疫情,NULL,30
開放,NULL,30
存股族,NULL,30
普遍,NULL,30
0093900940,NULL,30
ETF00939,NULL,30
使用,NULL,30
共有,NULL,30
千億,NULL,30
張數,NULL,30
台指期,NULL,30
00918,NULL,30
出貨,NULL,30
五日,NULL,30
出爐,NULL,30
出口,NULL,30
小資族,NULL,30
挑選,NULL,30
公開,NULL,30
收漲,NULL,30
兩萬點,NULL,30
國人,NULL,30
國外,NULL,30
先前,NULL,29
量能,NULL,29
追求,NULL,29
時機,NULL,29
00713,NULL,29
台達電,NULL,29
推動,NULL,29
綜合,NULL,29
概念,NULL,29
汽車,NULL,29
釋出,NULL,29
上揚,NULL,29
800,NULL,29
大型,NULL,29
多元,NULL,29
特性,NULL,29
兆豐金,NULL,29
電腦,NULL,29
股族,NULL,29
新光金,NULL,29
尚未,NULL,29
陽明,NULL,29
實際,NULL,29
破發,NULL,29
主題,NULL,29
富邦金,NULL,29
年期,NULL,29
價位,NULL,29
發表,NULL,29
消費,NULL,28
總裁,NULL,28
不到,NULL,28
排除,NULL,28
立委,NULL,28
一波,NULL,28
勞工,NULL,28
二月,NULL,28
收入,NULL,28
數位,NULL,28
事業,NULL,28
再次,NULL,28
精準,NULL,28
至少,NULL,28
1000,NULL,28
執行長,NULL,28
總經理,NULL,28
方向,NULL,28
FOMC,NULL,28
計畫,NULL,28
日為,NULL,28
年度,NULL,28
長天期,NULL,28
軍工,NULL,28
連結,NULL,28
政府,NULL,28
等於,NULL,28
第四季,NULL,28
記憶體,NULL,28
黃仁,NULL,28
發現,NULL,28
周漲,NULL,28
規劃,NULL,28
台幣,NULL,28
滬深,NULL,27
看到,NULL,27
確實,NULL,27
單月,NULL,27
新聞,NULL,27
現階段,NULL,27
飆漲,NULL,27
隱形眼鏡,NULL,27
巴菲特,NULL,27
前十名,NULL,27
部分,NULL,27
38,NULL,27
提前,NULL,27
當年,NULL,27
行銷,NULL,27
能夠,NULL,27
流入,NULL,27
站穩,NULL,27
運用,NULL,27
虛擬,NULL,27
自提,NULL,27
有限,NULL,27
光寶科,NULL,27
反應,NULL,27
入列,NULL,27
不動產,NULL,27
拉抬,NULL,27
寫下,NULL,27
3000915,NULL,27
全台,NULL,27
觀望,NULL,27
追高,NULL,27
臉書,NULL,26
過大,NULL,26
上修,NULL,26
60,NULL,26
房地產,NULL,26
群創,NULL,26
給付,NULL,26
紅海,NULL,26
開低,NULL,26
34,NULL,26
製造,NULL,26
實質,NULL,26
申請,NULL,26
光電,NULL,26
工具,NULL,26
之外,NULL,26
附近,NULL,26
小漲,NULL,26
下滑,NULL,26
QRAFT,NULL,26
工作,NULL,26
低點,NULL,26
大聯大,NULL,26
最新,NULL,26
061,NULL,26
登場,NULL,25
提出,NULL,25
主委,NULL,25
佳世達,NULL,25
態度,NULL,25
年增率,NULL,25
一舉,NULL,25
發文,NULL,25
多數,NULL,25
產能,NULL,25
印度,NULL,25
利息,NULL,25
周三,NULL,25
2382,NULL,25
IC,NULL,25
年底,NULL,25
之亂,NULL,25
大亞,NULL,25
大買,NULL,25
3000918,NULL,25
千億元,NULL,25
閱讀,NULL,25
近年,NULL,25
將來,NULL,25
老牛,NULL,25
原油,NULL,25
台廠,NULL,25
湧入,NULL,25
歷年,NULL,25
漲跌,NULL,25
經營,NULL,25
放大,NULL,25
融券,NULL,25
點火,NULL,25
跡象,NULL,24
野村,NULL,24
台新,NULL,24
熱錢,NULL,24
中央,NULL,24
月份,NULL,24
士電,NULL,24
走升,NULL,24
PTT,NULL,24
瑞昱,NULL,24
周一,NULL,24
受理,NULL,24
授權,NULL,24
達人,NULL,24
超額,NULL,24
雙鴻,NULL,24
東元,NULL,24
程度,NULL,24
旺季,NULL,24
轉型,NULL,24
扮演,NULL,24
日將,NULL,24
迎來,NULL,24
手續費,NULL,24
技嘉,NULL,24
貸款,NULL,24
開高走低,NULL,24
將有,NULL,24
主動式,NULL,24
儲蓄,NULL,24
