system_id,word,pos
1,達,VJ
1,人,Na
1,提醒,VE
1,存錯,VC
1,股票,Na
1,，,COMMACATEGORY
1,可能,VH
1,利息,Na
1,價差,Na
1,都,D
1,雙,A
1,輸,VD
1,示意圖,Na
1,/,FW
1,達志,Nb
1,影像,Na
1,/,FW
1,根據,P
1,集保,Na
1,中心,Nc
1,統計,Na
1,，,COMMACATEGORY
1,中鋼,Nc
1,總股東,Nc
1,人數,Na
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,比,P
1,台積電,Nb
1,萬,Neu
1,人,Na
1,還,Dfa
1,高,VH
1,，,COMMACATEGORY
1,加上,Cbb
1,背後,Nc
1,官股,Na
1,色彩,Na
1,，,COMMACATEGORY
1,直,D
1,受,P
1,存股族,Na
1,青睞,VI
1,，,COMMACATEGORY
1,但,Cbb
1,根據,P
1,中鋼,Nc
1,宣布,VE
1,今年,Nd
1,配息,Na
1,，,COMMACATEGORY
1,卻,D
1,讓,VL
1,許多,Neqa
1,仰賴,VJ
1,配息,Na
1,支撐,VC
1,生活,Na
1,的,DE
1,退休族,Na
1,收入,Na
1,瞬間,Nd
1,縮水,VH
1,，,COMMACATEGORY
1,玩,VC
1,股網,Na
1,專欄,Na
1,作家,Na
1,玩股,Na
1,小,VH
1,博士,Na
1,表示,VE
1,，,COMMACATEGORY
1,存有,VJ
1,千,Neu
1,張,Nf
1,中鋼,Nc
1,，,COMMACATEGORY
1,在,P
1,年,Na
1,可以,D
1,風光,VH
1,領息,VA
1,超過,VJ
1,萬,Neu
1,，,COMMACATEGORY
1,但,Cbb
1,今年,Nd
1,僅,Da
1,剩,VJ
1,萬,Neu
1,，,COMMACATEGORY
1,提醒,VE
1,退休族,Na
1,，,COMMACATEGORY
1,存股,Na
1,存到,VC
1,景氣,Na
1,循環,Na
1,股,Na
1,，,COMMACATEGORY
1,這,Nep
1,就,D
1,會,D
1,是,SHI
1,下場,Na
1,退休族,Na
1,講究,VK
1,的,DE
1,是,SHI
1,配息,Na
1,穩定,VHC
1,，,COMMACATEGORY
1,玩股,Na
1,小,VH
1,博士,Na
1,表示,VE
1,，,COMMACATEGORY
1,要,D
1,想,VE
1,買到,VC
1,穩定,VHC
1,獲利,VH
1,配息,Na
1,的,DE
1,個股,Na
1,有,V_2
1,大,VH
1,條件,Na
1,每,Nes
1,年,Nf
1,配息,Na
1,穩定,VHC
1,持平,VH
1,或,Caa
1,成長,VH
1,配息,Na
1,年數,Na
1,高,VH
1,獲利,VH
1,及,Caa
1,股價,Na
1,穩定,VHC
1,往,P
1,上,Ncd
1,走,VA
1,他,Nh
1,點名家,Na
1,老牌股,Na
1,關貿,Na
1,東元,Nb
1,和,Caa
1,崇越,Nb
1,，,COMMACATEGORY
1,前,Ncd
1,大,VH
1,條件家,Na
1,都,D
1,符合,VJ
1,，,COMMACATEGORY
1,但,Cbb
1,只有,Cbb
1,關貿,Na
1,在,P
1,過,VCL
1,去年,Nd
1,疫情,Na
1,重創,VC
1,經濟,Na
1,時,Ng
1,，,COMMACATEGORY
1,獲利,VH
1,依然,D
1,往,P
1,上,Ncd
1,走,VA
1,背後,Nc
1,有,V_2
1,大,VH
1,股東,Na
1,財政部,Nc
1,支撐,VC
1,的,DE
1,關貿,Na
1,，,COMMACATEGORY
1,過去,Nd
1,十,Neu
1,年,Nf
1,不斷,D
1,竄升,VA
1,，,COMMACATEGORY
1,從,P
1,元成長,Nb
1,至,P
1,去年,Nd
1,元,Nf
1,，,COMMACATEGORY
1,股息,Na
1,則,D
1,從,P
1,元,Nd
1,到,P
1,今年,Nd
1,配息元,Na
1,，,COMMACATEGORY
1,而,Cbb
1,股價,Na
1,則,D
1,從,P
1,元,Nf
1,至,P
1,如今,Nd
1,元,Nf
1,，,COMMACATEGORY
1,想要,VE
1,股息,Na
1,價差,Na
1,兩,Neu
1,頭,Ncd
1,賺,VC
1,的,DE
1,投資人,Na
1,，,COMMACATEGORY
1,就,D
1,要,D
1,考慮,VE
1,這,Nep
1,種,Nf
1,安全,VH
1,有,V_2
1,吃,VC
1,又,D
1,有,V_2
1,拿,VC
1,的,DE
1,個股,Na
1,以下,Ncd
1,是,SHI
1,玩股小,Nc
1,博士,Na
1,的,DE
1,文章,Na
1,分享,VJ
1,根據,P
1,大,VH
1,數據,Na
1,統計,Na
1,，,COMMACATEGORY
1,國內,Nc
1,投資人,Na
1,越,D
1,年輕,VH
1,買,VC
1,越,D
1,多,VH
1,，,COMMACATEGORY
1,但,Cbb
1,真正,A
1,的,DE
1,退休族,Na
1,則,D
1,買,VC
1,個股,Na
1,，,COMMACATEGORY
1,雖然,Cbb
1,兩,Neu
1,者,Na
1,差異,Na
1,大,VH
1,，,COMMACATEGORY
1,不過,Cbb
1,兩,Neu
1,者,Na
1,的,DE
1,共同點,Na
1,都,D
1,是,SHI
1,高,VH
1,股息,Na
1,無,VJ
1,腦,Na
1,買,VC
1,高,VH
1,股息,Na
1,，,COMMACATEGORY
1,這,Nep
1,投資,Na
1,相對,VH
1,簡單,VH
1,，,COMMACATEGORY
1,但,Cbb
1,如果,Cbb
1,真的,D
1,想要,VE
1,退休,VH
1,，,COMMACATEGORY
1,推出,VC
1,時間,Na
1,過短,VH
1,，,COMMACATEGORY
1,恐怕,D
1,不,D
1,被,P
1,退休族,Na
1,所,D
1,信任,VJ
1,，,COMMACATEGORY
1,因此,Cbb
1,還是,D
1,多,D
1,買,VC
1,高,VH
1,股息,Na
1,的,DE
1,個股,Na
1,居多,VI
1,但,Cbb
1,話,Na
1,又,D
1,說,VE
1,回來,VA
1,，,COMMACATEGORY
1,台股,Na
1,股民,Na
1,買,VC
1,最多,VH
1,的,DE
1,就,D
1,是,SHI
1,中鋼,Nc
1,，,COMMACATEGORY
1,根據,P
1,最,Dfa
1,新,VH
1,集保,Na
1,庫存,Na
1,數據,Na
1,顯示,VK
1,，,COMMACATEGORY
1,目前,Nd
1,中鋼,Nc
1,總股東數,Na
1,高達,VJ
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,遠,Dfa
1,高於,VJ
1,台積電,Nb
1,的,DE
1,萬,Neu
1,人,Na
1,其中,Nep
1,持股,Na
1,低於,VJ
1,張,Nb
1,的,DE
1,散戶,Na
1,高達,VJ
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,佔,VJ
1,整體,Na
1,股權,Na
1,另,Nes
1,持,VC
1,股,Na
1,張,VC
1,以上,Ng
1,的,DE
1,大戶,Na
1,則,D
1,有,V_2
1,人,Na
1,，,COMMACATEGORY
1,共,Da
1,持股,VA
1,散戶,Na
1,甚至,D
1,還,D
1,定期,A
1,定額,Na
1,持續,VL
1,買進,VC
1,，,COMMACATEGORY
1,不過,Cbb
1,震撼,VJ
1,的,DE
1,消息,Na
1,來,VA
1,了,Di
1,，,COMMACATEGORY
1,以,P
1,中鋼,Nc
1,作為,VG
1,退休族,Na
1,領,VC
1,股息,Na
1,來,D
1,說,VE
1,，年,D
1,公布,VE
1,股息,Na
1,將,D
1,配發,VJ
1,元,Nf
1,，,COMMACATEGORY
1,年,Na
1,僅,Da
1,元,Nf
1,，,COMMACATEGORY
1,如果,Cbb
1,只,Da
1,靠,P
1,中鋼,Nc
1,退休,VH
1,不,D
1,就,D
1,危險,VH
1,了,T
1,中鋼,Nc
1,歷年,Nd
1,股利,Na
1,政策,Na
1,及,Caa
1,除權,Nv
1,息覽表,Na
1,如果,Cbb
1,從,P
1,過去,Nd
1,五,Neu
1,年,Nf
1,股息,Na
1,來,D
1,看,VE
1,，年,Nd
1,配發元,Na
1,僅,Da
1,高於,VJ
1,年,Na
1,，,COMMACATEGORY
1,年,Nf
1,配息,Na
1,還,D
1,有,V_2
1,元,Nf
1,，,COMMACATEGORY
1,隨後,Nd
1,呈現,VJ
1,雪崩式,A
1,下滑,VA
1,，年,Nd
1,配息元,Na
1,，年,Nd
1,配息,Na
1,元,Nf
1,以,P
1,股價,Na
1,來,D
1,看,VE
1,，,COMMACATEGORY
1,是,SHI
1,從,P
1,年高點路,Na
1,下滑,VA
1,，,COMMACATEGORY
1,從,P
1,元,Nf
1,以上,Ng
1,到,P
1,目前,Nd
1,不,D
1,到,P
1,元,Nf
1,，,COMMACATEGORY
1,這,Nep
1,等,Cab
1,於,P
1,是,SHI
1,賠,VD
1,了,Di
1,夫人,Na
1,又,D
1,折兵,VH
1,其實,D
1,會,D
1,這樣,VH
1,不用,D
1,意外,VK
1,，,COMMACATEGORY
1,畢竟,D
1,中鋼,Nc
1,就,D
1,是,SHI
1,官股,Na
1,，,COMMACATEGORY
1,遇到,VC
1,物價,Na
1,上漲,Nv
1,也,D
1,很,Dfa
1,難,VH
1,漲價,VH
1,，,COMMACATEGORY
1,再,D
1,來,D
1,就是,Cbb
1,集團,Na
1,景氣,Na
1,循股性,Na
1,很,Dfa
1,強,VH
1,，,COMMACATEGORY
1,市場,Nc
1,需求,Na
1,強,VH
1,的,DE
1,時候,Na
1,就,D
1,會,D
1,直,D
1,漲,VH
1,，,COMMACATEGORY
1,股息,Na
1,也,D
1,會,D
1,跟著,D
1,多,VH
1,，,COMMACATEGORY
1,但,Cbb
1,遇到,VC
1,鋼鐵業,Na
1,景氣,Na
1,蕭條,VH
1,，,COMMACATEGORY
1,就,D
1,會,D
1,跟,P
1,這,Nep
1,幾,Neu
1,年,Nf
1,的,DE
1,狀況樣,Na
1,，,COMMACATEGORY
1,不僅,Cbb
1,股價,Na
1,下跌,VH
1,獲利,VH
1,也,D
1,衰退,VH
1,，,COMMACATEGORY
1,所以,Cbb
1,中鋼,Nc
1,其實,D
1,就,D
1,是,SHI
1,要,D
1,操作,VC
1,的,DE
1,波段,Na
1,景氣股,Na
1,，,COMMACATEGORY
1,而,Cbb
1,不應該,D
1,是,SHI
1,存股族,Na
1,的,DE
1,目標,Na
1,說,VE
1,個,Di
1,大,VH
1,點,Na
1,的,DE
1,落差,Na
1,，,COMMACATEGORY
1,即便,Cbb
1,存到,VC
1,千,Neu
1,張,Nf
1,中鋼,Nc
1,又,D
1,如何,D
1,年風光,Na
1,領,VC
1,超過,VJ
1,萬,Neu
1,，,COMMACATEGORY
1,但,Cbb
1,今年,Nd
1,總股息,Na
1,只,Da
1,剩下,VJ
1,萬,Neu
1,，,COMMACATEGORY
1,別,D
1,忘,VK
1,了,T
1,，,COMMACATEGORY
1,這,Nep
1,還,D
1,不,D
1,包含,VJ
1,繳稅,VA
1,以及,Caa
1,二,Neu
1,代,Na
1,健保,Na
1,所以,Cbb
1,要,D
1,找,VC
1,還是,D
1,要,D
1,找,VC
1,股息,Na
1,穩定,VHC
1,成長,VH
1,，,COMMACATEGORY
1,而且,Cbb
1,配息,Na
1,時間,Na
1,要,D
1,夠,Dfa
1,長,VH
1,才,Da
1,行,VH
1,看到,VE
1,殖利率,Na
1,特別,VH
1,高,VH
1,的,DE
1,股票,Na
1,，,COMMACATEGORY
1,千萬,D
1,不要,D
1,見獵心喜,VH
1,，,COMMACATEGORY
1,因為,Cbb
1,有,V_2
1,極,Dfa
1,大,VH
1,可能,D
1,是,SHI
1,景氣,Na
1,循環,Na
1,股,Na
1,，,COMMACATEGORY
1,當,P
1,景氣,Na
1,開始,VL
1,往,P
1,下,Ncd
1,走,VA
1,，,COMMACATEGORY
1,當年,Nd
1,股息,Na
1,還,D
1,在,P
1,前年,Nd
1,的,DE
1,新高,Na
1,，,COMMACATEGORY
1,這,Nep
1,就,D
1,是,SHI
1,存,VC
1,高,VH
1,殖利率股,Na
1,的,DE
1,迷思,Na
1,那麼,Dk
1,到底,D
1,該,D
1,如何,D
1,買到,VC
1,穩定,VHC
1,獲利,VH
1,配息,Na
1,的,DE
1,個股,Na
1,有,V_2
1,幾,Neu
1,個,Nf
1,條件,Na
1,每,Nes
1,年,Nf
1,配息,Na
1,穩定,VHC
1,持平,VH
1,或,Caa
1,成長,VH
1,配息,Na
1,年數,Na
1,高,VH
1,獲利,VH
1,及,Caa
1,股價,Na
1,要,D
1,穩定,VHC
1,往,P
1,上,Ncd
1,走,VA
1,舉例,VA
1,來,D
1,說,VE
1,，,COMMACATEGORY
1,關貿,Na
1,連年,D
1,股利,Na
1,成長,VH
1,，,COMMACATEGORY
1,崇越,Nb
1,連年,D
1,股利,Na
1,成長,VH
1,，,COMMACATEGORY
1,東元,Nb
1,則,D
1,是,SHI
1,連年,D
1,成長,VH
1,超過,VJ
1,年,Na
1,以上,Ng
1,維持,VJ
1,成長,VH
1,，,COMMACATEGORY
1,就,D
1,真的,D
1,要,VC
1,功力,Na
1,，,COMMACATEGORY
1,因為,Cbb
1,近年,Nd
1,正好,Da
1,就,D
1,是,SHI
1,新冠,Na
