system_id,sentence
1,達人提醒存錯股票，可能利息價差都雙輸
1,示意圖/達志影像/
1,根據集保中心統計，中鋼總股東人數萬人，比台積電萬人還高，加上背後官股色彩，直受存股族青睞，但根據中鋼宣布今年配息，卻讓許多仰賴配息支撐生活的退休族收入瞬間縮水，玩股網專欄作家玩股小博士表示，存有千張中鋼，在年可以風光領息超過萬，但今年僅剩萬，提醒退休族，存股存到景氣循環股，這就會是下場
1,退休族講究的是配息穩定，玩股小博士表示，要想買到穩定獲利配息的個股有大條件每年配息穩定持平或成長
1,配息年數高
1,獲利及股價穩定往上走
1,他點名家老牌股關貿東元和崇越，前大條件家都符合，但只有關貿在過去年疫情重創經濟時，獲利依然往上走
1,背後有大股東財政部支撐的關貿，過去十年不斷竄升，從元成長至去年元，股息則從元到今年配息元，而股價則從元至如今元，想要股息價差兩頭賺的投資人，就要考慮這種安全有吃又有拿的個股
1,以下是玩股小博士的文章分享
1,根據大數據統計，國內投資人越年輕買越多，但真正的退休族則買個股，雖然兩者差異大，不過兩者的共同點都是高股息
1,無腦買高股息，這投資相對簡單，但如果真的想要退休，推出時間過短，恐怕不被退休族所信任，因此還是多買高股息的個股居多
1,但話又說回來，台股股民買最多的就是中鋼，根據最新集保庫存數據顯示，目前中鋼總股東數高達萬人，遠高於台積電的萬人
1,其中持股低於張的散戶高達萬人，佔整體股權
1,另持股張以上的大戶則有人，共持股
1,散戶甚至還定期定額持續買進，不過震撼的消息來了，以中鋼作為退休族領股息來說，年公布股息將配發元，年僅元，如果只靠中鋼退休不就危險了
1,中鋼歷年股利政策及除權息覽表
1,如果從過去五年股息來看，年配發元僅高於年，年配息還有元，隨後呈現雪崩式下滑，年配息元，年配息元
1,以股價來看，是從年高點路下滑，從元以上到目前不到元，這等於是賠了夫人又折兵
1,其實會這樣不用意外，畢竟中鋼就是官股，遇到物價上漲也很難漲價，再來就是集團景氣循股性很強，市場需求強的時候就會直漲，股息也會跟著多，但遇到鋼鐵業景氣蕭條，就會跟這幾年的狀況樣，不僅股價下跌獲利也衰退，所以中鋼其實就是要操作的波段景氣股，而不應該是存股族的目標
1,說個大點的落差，即便存到千張中鋼又如何
1,年風光領超過萬，但今年總股息只剩下萬，別忘了，這還不包含繳稅以及二代健保
1,所以要找還是要找股息穩定成長，而且配息時間要夠長才行
1,看到殖利率特別高的股票，千萬不要見獵心喜，因為有極大可能是景氣循環股，當景氣開始往下走，當年股息還在前年的新高，這就是存高殖利率股的迷思
1,那麼到底該如何買到穩定獲利配息的個股
1,有幾個條件
1,每年配息穩定持平或成長
1,配息年數高
1,獲利及股價要穩定往上走
1,舉例來說，關貿連年股利成長，崇越連年股利成長，東元則是連年成長
1,超過年以上維持成長，就真的要功力，因為近年正好就是新冠疫情爆發，很多公司都倒閉了，堆公司還沒回血，甚至連半導體也面臨庫存而導致獲利衰退，所以這家老牌企業已經滿足第關
1,再來是配息年數要夠高，關貿連續配息年，崇越連續配息年，東元則是連續配息年
1,第關則是獲利穩定往上走，關貿自年連續成長到年，從元成長到翻倍的元，這當然夠強
1,東元年繳出元出現衰退，不過年前季繳出元逼近年已經回血
1,而崇越則在年連續成長，但隨著半導體衰退，年前季繳出元的衰退，不過衰退幅度僅為，並不像其他同產業的電子股腰斬這麼大
1,經歷過三關洗禮，唯滿足條件的就是關貿，這也是檔冷門股，有趣的是，公司背後大股東就是財政部，所以跟中鋼樣都是官股，但卻有不同的獲利爆發力，接著來看看幾個數據
1,關貿技術分析
1,上面的技術線圖是十年月線，而且是還原股息的線圖，關貿在十年期間，股價從元漲到現在逼近元，所以並沒有領股息賠價差的狀況
1,關貿歷年股利政策及除權息覽表
1,再從配息狀況來看，這十年以來，從元成長到元，而最新公告年即將配發元
1,以十年來看，股價成長兩倍多，股息同樣成長兩倍多，換句話來說，這是檔高股息獲利高成長又會漲的官股
1,關貿每月營收
1,最後從營收來看，樣拉開年營收，其實就只有年微幅衰退，其餘年份都穩定成長，所以這基本面當然也是持續成長，對照景氣循環股起伏不定，關貿可說是方方面面都勝出
1,免責聲明本文獲得玩股網授權，文中所提之個股基金內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧
2,首檔結合價值投資元銅板發行價又月月配，掀起空前搶購狂熱，吸引小資族學生族申購
2,示意圖/達志影像/
2,元大臺灣價值高息標榜首檔結合價值投資元銅板發行價又月月配，掀起空前搶購狂熱，吸引小資族學生族申購，即將在月日掛牌上市，還有檔也將陸續加入月配息戰場
2,其中檔為高息，分別為即將由群益投信發行受到市場矚目，也被稱為科技版的群益科技高息成長，發行價格也是元，還有野村臺灣趨勢動能高股息發行價為元，都為月月配，且不約而同於月日開募
2,另外兩檔同在則是復華台灣科技高股息基金，以及凱基美國非投等債等
2,銅板價月月配幾乎成了票房保證，讓小資族存股族退休族都能實現低價買輕鬆存每月領的無壓力投資
