text,label
ive never been the mother of a teenage girl before but i sure as hell have been one and this little episode would have left me at feeling ugly and crappy and humiliated,sadness
i feel bad for pretty much everyone involved and am generally bummed to see violence take place perhaps most disturbing of all is the insidious if not predictable victim blaming that has taken hold in the days since the violent incident,sadness
i feel that someone is being rude or has wrongly done something to me i lose it,anger
i felt empowered telling him how it had affected me how i had come close to suicide because of the severe distress it had caused me to continue to feel long after the unpleasant encounter where what i felt was disregarded completely,sadness
i feel like i should be more bothered by this topic but for some reason im sor,anger
i was half feeling very irritated and just wanted to get out of a amp f lol,anger
i remember feeling outraged to my core when i read a particularly heinous series of articles in the friday times where else if not this paper,anger
my roommates lack of consideration of me,anger
i feel like i just cant be bothered,anger
i feel ugly right now im still happy,sadness
i dont write because i feel i have superior will power that has enabled me to abstain throughout the years,joy
i focus on the injustice the anger rises and i feel frustrated because i know i cannot change things on my own,anger
i look down feeling alone and wantig to be that way,sadness
i feel disturbed today,sadness
i now can t help but feel like i ve been sloughed over like an unwelcome burden kathumped on the ground,sadness
im feeling a bit frustrated with myself tonight,anger
i make light of it but sometimes i feel really awkward in small groups and in one on one conversations,sadness
im feeling low i usually just want to lay in bed and do nothing,sadness
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,sadness
i feel content sending packet after packet out into the world,joy
i feel more disgusted with the woman who s undoubtedly banking off this incident the one who handed the pictures off to political pundits who she has to have known would use them in not nice ways,anger
i feel like im being greedy when i say i want more money,anger
i love the feeling of aching oh what are those insipid things called on the front sides of my calves muscles and i love the fantasy that some day soon i will be featured in sports illustrated as the swimsuit model of the year maybe they will make a special issue for the baby boomers,sadness
i find myself to pick a draw i somehow have the feeling that heung min son has something special in store for us,joy
i don t feel glamorous anymore kangna ranaut a href http www,joy
i was left with my integrity and my dignity intact but feeling pissed off,anger
i love being an author and feel that ultimately that will be my one career but all these other jobs are fabulous experiences that bring a lot to my writing,joy
i tend to stop breathing when i m feeling stressed,sadness
im not as low as my much dreaded lowests i have been feeling a zap and strain on fabulous in the last week,joy
i am feeling that cranky voice inside my head that just wants to eat whatever it wants,anger
i feel listless most of the time nowadays,sadness
i should say its giving him that sweet little feeling of being fucked,anger
i feel this is very dangerous,anger
i feel like a stubborn year old,anger
i im feeling rot im feeling rotten today i guess i forgot i am shot im not o,sadness
ive had little movie star tears come down but the way i feel is not relieved by that,joy
i was feeling rather pleased with myself when colombians who remembered the gringa with the bike from el amparo took me under their wing as they reckoned if we inquired about a boat as a group of we would get a discount,joy
i feel proud of my work and the playful enriching curiosity encouraging environment that work has created for future kindergarteners who come through the school,joy
i try not to let my anxiety show and make him feel unwelcome,sadness
i am comfortable and confident with feeling safe as i meditate,joy
i can stop feeling jealous,anger
