system_id,dataSource,artUrl,artDate,artTitle,artContent
1,chinatimes,https://wantrich.chinatimes.com/news/20240331900006-420101,2024-03-31 09:10:04,退休就靠它了！存1000張中鋼又如何「昔領息300萬、今剩35萬」3檔老牌股 有吃有拿躺賺十年,"達人提醒存錯股票，可能利息、價差都雙輸。（示意圖/達志影像/shutterstock）

根據集保中心統計，中鋼總股東人數124萬人，比台積電106萬人還高，加上背後官股色彩，一直受存股族青睞，但根據中鋼宣布今年配息0.35，卻讓許多仰賴配息支撐生活的退休族收入瞬間縮水，玩股網專欄作家「玩股小博士」表示，存有1千張中鋼，在2022年可以風光領息超過300萬，但今年僅剩35萬，提醒退休族，存股存到景氣循環股，這就會是下場。

退休族講究的是配息穩定，「玩股小博士」表示，要想買到穩定獲利配息的個股有3大條件：1、每年配息穩定持平或成長；2、配息年數高；3、獲利及股價穩定往上走。他點名3家老牌股關貿、東元和崇越，前2大條件3家都符合，但只有關貿在過去3年疫情重創經濟時，獲利依然往上走。

背後有大股東財政部支撐的關貿，過去十年EPS不斷竄升，從1.31元成長至去年3.2元，股息則從1.1元到今年配息2.75元，而股價則從20元至如今70元，想要「股息、價差兩頭賺」的投資人，就要考慮這種安全、有吃又有拿的個股。

以下是「玩股小博士」的文章分享：

根據大數據統計，國內投資人越年輕買越多ETF，但真正的退休族則買個股，雖然兩者差異大，不過兩者的共同點都是高股息。ETF無腦買高股息，這投資相對簡單，但如果真的想要退休，ETF推出時間過短，恐怕不被退休族所信任，因此還是多買高股息的個股居多。

但話又說回來，台股股民買最多的就是中鋼，根據最新集保庫存數據顯示，目前中鋼總股東數高達124萬人，遠高於台積電的106萬人。其中持股低於20張的散戶高達119萬人，佔整體股權21.47%；另持股400張以上的大戶則有706人，共持股57.64%。散戶甚至還定期定額持續買進，不過震撼的消息來了，以中鋼作為退休族領股息來說，2024年公布股息將配發0.35元，2023年EPS僅0.11元，如果只靠中鋼退休不就危險了？

中鋼(2002)歷年股利政策及除權息一覽表

如果從過去五年股息來看，2024年配發0.35元僅高於2021年，2022年配息還有3.1元，隨後呈現雪崩式下滑，2023年配息1元，2024年配息0.35元。

以股價來看，是從2021年高點一路下滑，從40元以上到目前不到30元，這等於是賠了夫人又折兵。其實會這樣不用意外，畢竟中鋼就是官股，遇到物價上漲也很難漲價，再來就是集團景氣循股性很強，市場需求強的時候就會一直漲，股息也會跟著多，但遇到鋼鐵業景氣蕭條，就會跟這幾年的狀況一樣，不僅股價下跌、獲利也衰退，所以中鋼其實就是要操作的波段景氣股，而不應該是存股族的目標。

說一個大一點的落差，即便存到1千張中鋼又如何？2022年風光領超過300萬，但今年總股息只剩下35萬，別忘了，這還不包含繳稅以及二代健保。所以要找還是要找股息穩定成長，而且配息時間要夠長才行。看到殖利率特別高的股票，千萬不要見獵心喜，因為有極大可能是景氣循環股，當景氣開始往下走，當年股息還在前一年的新高，這就是存高殖利率股的迷思。

那麼到底該如何買到穩定獲利配息的個股？有幾個條件：

1.每年配息穩定持平或成長。

2.配息年數高。

3.獲利及股價要穩定往上走。

舉例來說，關貿連11年股利成長，崇越連5年股利成長，東元則是連4年成長。超過3年以上維持成長，就真的要功力，因為近3年正好就是新冠疫情爆發，很多公司都倒閉了，一堆公司還沒回血，甚至連半導體也面臨庫存而導致獲利衰退，所以這3家老牌企業已經滿足第一關。

再來是配息年數要夠高，關貿連續配息26年，崇越連續配息26年，東元則是連續配息18年。

第3關則是獲利穩定往上走，關貿EPS自2016年連續成長到2023年，EPS從1.31元成長到翻倍的3.2元，這當然夠強。

東元2022年EPS繳出1.64元出現衰退，不過2023年前3季繳出2.25元逼近2021年已經回血。

而崇越則在2019年連續成長，但隨著半導體衰退，2023年前3季EPS繳出12.01元的衰退，不過衰退幅度僅為11.04%，並不像其他同產業的電子股腰斬這麼大。

經歷過三關洗禮，唯一滿足條件的就是關貿，這也是一檔冷門股，有趣的是，公司背後大股東就是財政部，所以跟中鋼一樣都是官股，但卻有不同的獲利爆發力，接著來看看幾個數據。

關貿(6183) 技術分析

上面的技術線圖是十年月線，而且是還原股息的線圖，關貿在十年期間，股價從20元漲到現在逼近70元，所以並沒有「領股息、賠價差」的狀況。

關貿(6183)歷年股利政策及除權息一覽表

再從配息狀況來看，這十年以來，從1元成長到2.5元，而最新公告2024年即將配發2.75元。以十年來看，股價成長兩倍多，股息同樣成長兩倍多，換句話來說，這是一檔高股息、獲利高成長又會漲的官股。

關貿 (6183)每月營收

最後從營收來看，一樣拉開年營收，其實就只有2016年微幅衰退，其餘年份都穩定成長，所以這基本面當然也是持續成長，對照景氣循環股起伏不定，關貿可說是方方面面都勝出。

免責聲明：本文獲得「玩股網」授權，文中所提之個股、基金內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
2,chinatimes,https://wantrich.chinatimes.com/news/20240331900073-420101,2024-03-31 08:10:00,ETF月月配變有錢！「申購價10元很便宜？」破解背後2大投資迷思,"00940首檔結合價值投資、10元銅板發行價又月月配，掀起ETF空前搶購狂熱，吸引小資族、學生族申購。（示意圖/達志影像/shutterstock）

元大臺灣價值高息（00940）標榜首檔結合價值投資、10元銅板發行價又月月配，掀起ETF空前搶購狂熱，吸引小資族、學生族申購，即將在4月1日掛牌上市，還有4檔ETF也將陸續加入月配息戰場。

其中2檔為高息ETF，分別為即將由群益投信發行、受到市場矚目，也被稱為科技版00919的「群益科技高息成長ETF」（00946），發行價格也是10元，還有野村臺灣趨勢動能高股息（00944）發行價為15元，都為月月配，且不約而同於4月22日開募。另外兩檔同在則是復華台灣科技高股息基金，以及凱基美國非投等債ETF等。

銅板價、月月配幾乎成了ETF票房保證，讓小資族、存股族、退休族都能實現「低價買、輕鬆存、每月領」的無壓力投資；對此，資深分析師王文良認為，申購價10元等於便宜？不！便宜定義是「物超所值」。

王文良表示，淨值15元的ETF花10元買到才叫便宜，淨值10元的ETF以10元買進哪算便宜？掛牌前淨值低於10元就是買貴，銅板價入手銅板價值的東西令人產生便宜的感覺是錯覺。

此外，月月配這筆錢有可能來自本金，只是「自己幫自己加薪」，過於頻繁配息，看似投資報酬提前落袋，但時間拉長，總報酬率有可能落後他人。

免責聲明：文中所提之ETF內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
3,chinatimes,https://wantrich.chinatimes.com/news/20240331900119-420501,2024-03-31 08:54:48,勞保年金才1.8萬！勞長喊所得替代率有68％「1動作還能衝上100％」,"除了雇主提撥薪資6％，勞工個人也自提6％，可望再多一倍勞退金。（示意圖/達志影像/shutterstock）

各界質疑勞保平均請領數額僅有1.8萬餘元偏低，日前，勞動部長許銘春對此表示，若以平均投保薪資3.7萬元試算，只計算雇主提繳的6％新制勞退金，勞保老年給付約可領1.7萬元，加上勞退金月領約1萬元，合計退休後每月可領2.77萬元，所得替代率有約68％。

除了雇主提撥薪資6％，勞工個人也自提6％，可望再多一倍勞退金，也就是退休之後每月再多1萬元退休金，勞保老年給付1.7萬元加計勞退金2萬元，合計為3.7萬元，所得替代率幾近100％。

然而，所得替代率指退休後平均每月可支配金額與退休當時的每月薪資的比例，然勞工族群所得替代率已被限制在勞保投保薪資上限4,5800元，也就是在職期間薪資高於45,800元者，薪水越高者所得替代率反而越低。

若經試算，所得替代率與預設退休金金額相差太大，就必須依靠個人準備補足，例如儲蓄、存股或存ETF等投資工具，補強規劃不足額部分；未來勢必面對年金改革，多繳、領少、晚退恐難避免，還不如在年輕時多準備一些還相對實際。"
4,chinatimes,https://wantrich.chinatimes.com/news/20240331900061-420101,2024-03-31 06:10:00,你還在車上嗎？00940最終成分股曝光！鈊象超車聯電「4檔掉出前10大」,"部分00940成分股開始出現利多出盡，必須留意高檔震盪風險，惟在資金輪動下，有利台股表現。（示意圖/達志影像/shutterstock）

元大台灣價值高息（00940）未演先轟動，短短5天受理申購就高達1,752億元，超過70.8萬人申購成功，即將在4月1日掛牌上市，近日其成分股股價修正，跌破10元發行價後，仍吸引投資人進場撿便宜；不過，證券分析師提醒，部分成分股開始出現利多出盡，必須留意高檔震盪風險，惟在資金輪動下，有利台股表現。

據元大投信公布最新此檔00940建倉部位持股，前十大依序為長榮（2603）9.32％、鈊象（3293）3.51％、聯電（2303）3.14％、中美晶（5483）3.14％、和碩（4938）2.99％、聯發科（2454）2.96％、漢唐（2404）2.9％、環球晶（6488）2.9％、日月光投控（3711）2.71％、聯詠（3034）2.65％。

神基（3005）、群光（2385）、瑞儀（6176）、新普（6121）等都退出前十大成份股，新增了和碩、環球晶、日月光及聯詠；超過1,750億元資金進場買成份股，不少投資人受惠「吃豆腐」效應，大賺一票。

高息ETF募集熱潮在3月掀起一波高峰，也為帶來了台股震盪，投顧高層認為，00940之所以狂賣，就是台股正處2萬點歷史新高價位，由於台股狂燒，投資人深怕錯過牛市行情（Fear of missing out），盲目進場追捧。

元大投信認為，ETF熱銷有三大原因，一是人口結構轉變，高齡化加速觸發高股息需求；二是投資偏好改變，從境外投資轉向境內基金；三是投資行為改變，從交易導向轉為配置導向；整體規模成長，對於台灣資本市場產生正向效益。

免責聲明：文中所提之ETF內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
5,chinatimes,https://wantrich.chinatimes.com/news/20240331900003-420101,2024-03-31 04:10:00,台股資金流向丕變！00940將步00939破發後塵？謝金河：想割韭菜的小心了,"規模直逼國安基金的00940將在4/1掛牌，上市後能否守穩10元發行價，是台股熱門話題。(圖/中時報系資料照)

規模直逼國安基金的00940將在明日（4/1）掛牌，但搶一步上市的00939，至今仍無法收復15元上市價，對10元低價登板的00940能否扭轉劣勢，財信傳媒董事長謝金河認為，多數投資人在乎股價短線漲跌，遠大過長期趨勢的觀察，這次00939一上市就破發，00940看起來也不意外，是一窩蜂爭搶新發行ETF下，短線過熱的回檔必然，但也認為剛好可給投機者一個警惕，提醒投資須用時間換取報酬，不是今天買了、明天就可以割韭菜。

謝金河在最新一期《先探》指出，2024年才剛剛過1季，全球股市紛紛出現飆升行情，道瓊直逼4萬點，標普500輕鬆越過5000點，市場又上看6000點，Nasdaq到18538點，不斷挑戰歷史天價，費半也寫下5217.83點的歷史新高。

整體展現歐股的歐洲道瓊50，也創下4420點新高，這當中丹麥、瑞典、荷蘭等比較小型的市場不停地上漲，法國股市更是創下8229點天價，連經濟已顯疲態的德國股市，也創下18411點歷史新高，歐洲近年經濟基本面不好，股市卻漲翻天，可以看出資金行情帶來的充沛活力。

另一個是亞洲的日本、印度股市不斷奔馳，日經輕鬆站上4萬點，印度直逼7萬5千點，就像台股挑戰2萬點，似乎沒有什麼阻力，要了解這個變化，必須從資金面、地緣政治的變化看起。

謝金河表示，資金大潮從00939（統一台灣高息動能）到00940（元大台灣價值高息）募集，掀起一陣陣漣漪，這給大家一個啟示，市場上多數投資人在乎股價今天、明天的漲跌，遠遠大過對長期大趨勢的敏銳觀察，像這次00939一上市就跌破發行價，元大的00940看起來也不意外，這是短線過熱的回檔必然。

很多投資人爭搶新發行ETF，以為會像「0050」一樣，一下子從10元漲到159.2元，或像「0056」會從10元漲到40.15元，其實0050已經走了漫長20年歲月，0056也有10年光景，謝金河勸告，投資人必須用時間來換取投資報酬，不是今天買了、明天就可以割韭菜，必須把投資與投機先區分清楚。

另一個角度是過去30年，台股從12682點下來，有多次挑戰萬點機會，但每次台股都崩盤，這當中有很大的因素跟中國有關，過去台灣人賺到錢，很多人把錢匯到中國買樓炒房，有的把錢匯至中國投資，也有投資人買陸股、港股，還有人民幣資產，這些年看好中國是顯學，錢匯中國像是台灣的資金疏洪道。

台灣在過去中國大陸大起的30年，也呈現委靡不振的狀態，因此，謝金河自陳早在2017年，就告訴大家台灣、日本會大好30年，當時市場投資人相信的不多，這個狀況到這些年，大家才終於有感覺。

這2年資金出現重大變化，台灣人不但不會匯錢去中國，還想盡辦法透過地下管道，或是所有可能途徑把錢匯回台灣，這是台灣資金潮改變的最大因素，於是源源不絕的資金匯聚台灣，是台股輕鬆越過2萬點的最大憑藉，加上美元轉成新台幣，還有壽險保單轉向ETF，都是2萬點的基本憑藉，資金方向改變了。

還有一個很關鍵的因素是AI，謝金河表示，最近Line群組廣傳，AI教父黃仁勳在矽谷台灣人餐會上的即席談話，他告訴大家：電腦革命就是AI革命，人類用全新的方式在做這些事，我們就在這個革命的中心點，我們值得為這件事向台灣喝彩。

黃仁勳說他是超厲害的台灣大使，因為他懂歷史，也了解台灣在這個產業革命中至關重要的地位，

謝金河認為，這一席話激盪台灣人的信心，AI革命也改變了台股走向。

※免責聲明：文中所提之個股、基金內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
6,chinatimes,https://wantrich.chinatimes.com/news/20240331900113-420101,2024-03-31 08:17:38,投信買盤單周狂撒千億！「土洋對作主戰場在這6檔」這檔買超、賣超都是第1名,"投信買盤主要來自投信建倉，單周一舉加碼1,007.59億元。（示意圖/達志影像/shutterstock）

高息ETF募集一波接一波，抬轎效應助漲台股，加權指數上周五（29日）上漲147.9點，終場收在20,294.45點收盤，刷新收盤歷史新高，周線收紅，共上漲66.02點，周漲幅0.33％，

觀察法人資金動向，投信買盤主要來自投信建倉，一舉加碼1,007.59億元，改寫台股史上單周最高金額，然而外資與自營商雙雙站在賣方，分別賣超448.82億元、97.58億元，單周合計買超461.18億元。

外資熱錢持續湧入台灣，主要是AI類股帶領的投資熱潮，加上台股基本面穩健，且台股指數表現目前優於多數亞股，漲幅僅次日股，因此吸引外資持續匯入。

不過，本土投顧示警，台股籌碼結構並不健康，月KD及周KD位處過熱區間，一旦資金高檔獲利了結，可能引發骨牌效應，漲多就是最大利空。

投信單周買超前10大上市個股依序為聯電（2303）114,410張、中信金（2891）100,106張、長榮（2603）87,152張、東元（1504）42,645張、寶成（9904）40,189張、和碩（4938）38,321張、佳世達（2352）37,412張、神達（3706）36,829張、上海商銀（5876）36,150張、統一（1216）34,427張等。

外資單周賣超前10大上市個股或ETF依序為聯電（2303）84,751張、光寶科（2301）50,810張、英業達（2356）46,328張、中信金（2891）42,764張、神達（3706）39,100張、佳世達（2352）39,036張、新光金（2888）35,436張、東元（1504）31,381張、和碩（4938）22,295張、中信中國高股息（00882）21,374張等。

值得一提的是，土洋上演法人對作大戲，聯電、中信金、神達、佳世達、東元、和碩等個股被「你丟我撿」。

免責聲明：文中所提之個股內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
7,chinatimes,https://wantrich.chinatimes.com/news/20240329900199-420501,2024-03-30 10:29:20,網紅條款來了！接投信ETF代言 需有3類證照,"為避免網紅代言ETF誤導投資人，投信投顧公會正研議進一步強化自律規範，預計6月底前完成，擬要求代言網紅要擁有證券分析師、投信投顧業務員、證券商高級業務員等3證照則擇一。（示意圖/達志影像/shutterstock）

【時報記者任珮云台北報導】為避免網紅代言ETF誤導投資人，投信投顧公會正研議進一步強化投信及基金銷售機構管理網紅廣告行為的自律規範，預計今年6月底前完成。據了解，目前公會研擬的方向朝網紅要擁有證券分析師、投信投顧業務員、證券商高級業務員，上述3種證照之一，才能承接投信業者的案子。

投信投顧公會草擬管理網紅廣告行為自律規範初稿如下：網紅於網路分享資訊，不得進行證券投資顧問業務及基金銷售業務等，其性質較類於本公會經營證券投資信託基金、境外基金及全權委投資業務之業者對外發布訊息行為規範準則所稱對外發布訊息之行為，故參考該行為準則第四條明訂第二款，業者應確認網紅取得證券投資信託事業負責人與業務人員管理規則第六條之一第一項第一款至第三款所列證券投資分析人員、證券投資信託及顧問事業之業務員與證券商高級業務員等資格條件之一。

據了解，面對ETF市場趨熱，除了現有監理措施，金管會規劃從強化投信與網紅合作管理、請證交所及櫃買中心研議是否應採行強化控管措施、將ETF列入對投信金檢重點三管齊下，維持ETF市場正常發展並保障投資人權益。投信投顧公會也正研議進一步強化投信及基金銷售機構管理網紅廣告行為的自律規範，預計今年6月底前完成。"
8,chinatimes,https://wantrich.chinatimes.com/news/20240331900015-420101,2024-03-30 20:10:00,乘勝追擊 四檔ETF近期開募,"元大發行的「00940」短短5天募集到1752億元，打破國內ETF上市規模紀錄，國內投信業趁勝追擊，緊接著有4檔ETF開始募集。圖為00940申購示意頁面。（本報資料照片）

元大發行的「00940」將於4月1日掛牌上市，短短5天募集到1752億元，打破國內ETF上市規模紀錄，推升台股持續創新高；國內投信業乘勝追擊，緊接著有4檔ETF開始募集；不過，分析師表示，待市場冷卻後，ETF要在5天內募集1752億元將成絕響 ，4月台股走勢將回歸基本面。

00940淨值連日下跌，根據元大官網顯示，淨值來到9.92元，低於10元發行價，分析師表示，這會影響投資人信心；接下來還有「00946群益科技高息成長ETF」、「00944野村台灣趨勢動能高息ETF」、「復華台灣科技高股息基金」以及「00945B凱基美國非投等債ETF」等陸續募集；分析師指出，當初是網紅宣傳太過誇張，且00940未上市就破發、低於10元，主管機關肯定會好好整頓，即使ETF再以10元、15元銅板價或月月配為號召，但要讓民眾解定存、擴充房貸餘額等，恐怕不可能。

國泰證期顧問處經理蔡明翰認為，台股接下來會回歸基本面，包括聯準會何時降息、官員對利率政策談話，及CPI、經濟成長率、失業率等數據公布，將左右大盤表現，市場回歸基本面。

安聯投信台股團隊指出，近期台股盤面深受資金影響，而ETF陸續公布成分股，資金追求效率下，有望從短線漲多的標的族群，轉入基期或評價面相對較低的個股，而近期登場的GTC大會，市場認為AI仍然是今年主流。"
9,chinatimes,https://wantrich.chinatimes.com/news/20240331900051-420101,2024-03-31 01:50:10,進場訊號快了？00919甜甜價曝光「這價位以下閉眼買」,"外資連日大砍多檔台股ETF包括00929、00919、00939，擺明與投信法人「錢鬥」。（示意圖/達志影像/shutterstock）

群益台灣精選高息（00919）大吃統一台灣高息動能（00939）、元大台灣價值高息（00940）豆腐後，漲多回檔，股價連跌，不少人問，00919要跌到什麼時候？還能買嗎？

外資連日大砍多檔台股ETF包括00929、00919、00939，擺明與投信法人「錢鬥」，但對存股來說，若打算長期持有、賺進股息，就不要在意股價高低，持續投入就對了，股價下跌反而能以「甜甜價」進場，已有網友力挺，大喊「今天又買了10張攤平」。

00919近4季配息分別為0.54元、0.54元、0.55元、0.66元，呈現階梯式步步高態勢，且次次填息與抗跌跟漲，符合存股族期待，不過要居高思危，一旦00940建倉完畢，有可能也是00919的短線高點，若要年化配息率達到10％以上，24.4元以下會是比較甜的價位。

00919的3月配息金額達0.66元，年化配息率超過10％，將於4月15日發放。法人表示，台股高息ETF若再搭配本身的「收益平準金」機制，股利不會因為未來受益人增加而被稀釋；台股高息ETF的波動度相對個股與大盤來得低，是存股族投資人做為長期穩健投資的好選擇之一。

免責聲明：文中所提之ETF內容，並非任何投資建議與參考，請審慎判斷評估風險，自負盈虧。"
10,chinatimes,https://wantrich.chinatimes.com/news/20240331900033-420101,2024-03-31 01:18:43,《基金》4檔ETF將在4月開募 3月台股ETF以海公公成分股高者勝出,"【時報記者任珮云台北報導】回顧2024年Q1共計有12檔基金成立，包括3檔ETF、7檔主動式基金，以及2檔連結式基金，隨著時序進入四月，投信新基金募集依舊是熱鬧滾滾，根據投信投顧公會網站以及各家投信網站，共計有4檔新基金將在四月募集，在台股ETF方面，將有兩檔新產品不約而同於4/22開募，分別為即將由群益投信發行、受到市場矚目並被稱為科技版00919的「00946群益科技高息成長ETF」，預計發行價格為10元銅板價，採月配息機制，以及野村趨勢動能高息ETF，而另外兩檔同在四月募集的產品還有復華台灣科技高股息基金，以及凱基美國非投等債ETF。

3月台股加權指數單月上漲7%，而原型ETF前十強全部繳出兩位數漲幅，全數打敗大盤，其中又以凱基優選高股息30(00915)以14.39%漲幅居冠。法人觀察，橫跨海內外股票型ETF，由00915奪下3月原型ETF績效冠軍，主因鴻海、鈊象、瑞儀、日月光、臻鼎-KY等成分股貢獻。細看3月單月對台股加權指數貢獻最多的個股，依序為台積電、鴻海、廣達、台達電、日月光、聯發科、士電、中信金、國泰金、嘉澤、鈊象，其中又以鴻海上漲45.63%漲勢最為兇猛；而翻開00915持股名單，鴻海是第一大成分股，占9.72%，鈊象、瑞儀、日月光也佔6-7%的權重。

ETF理財達人表示，即將在4月開募的00946群益科技高息成長ETF特色在於產品設計結合科技成長與股息收益兩大要素，更是第一檔在指數成分股篩選上，將外資認同度納入指數成分股篩選流程中的台股ETF，協助投資人跟隨專業外資機構的眼光，掌握台灣優質科技股。而00946之所以被稱為科技版00919的理由在於，00946不只是挑選成長性與獲利能力俱佳，以及外資青睞的台灣科技股，還承襲了00919的精準高息、精準卡位與精準領息之三大精神，進一步從中篩選出配息能力好的公司，指數會在每年5月與11月重新審核成分股，5月審核依上市櫃公司最新宣告股利來鎖定科技高息股，11月審核還需額外滿足當年度累計EPS為正數，且當年度至少有兩季EPS為正數的條件，超前部屬具股息與股價成長潛力之科技股，一舉掌握台灣科技股之股息股價雙收優勢。

凱基投信表示，台股目前本益比18倍，評價面已相對偏高，展望第二季，台股進入傳統淡季，受到季節性影響會更加明顯，在AI晶片龍頭推出新晶片、舊晶片採購恐觀望縮手的情況下，第二季對台股相關供應鏈來講，變數可能變多，大盤陷入震盪的情況會益發明顯。不過，AI長線趨勢不變，台股未來12個月企業獲利仍在上修，台股年底到明年都還有創高機會，因此凱基投信建議，第二、三季若遇回檔，都是逢低加碼好時機；在更加考驗選股能力的盤勢下，不妨透過採用獲利品質、股息配發全面考量與低波動排序選股機制的高股息ETF，分享多檔優質企業獲利成果的同時，還能兼顧風險分散。"
