word,sentiments,size
台電,NULL,7606
台灣,NULL,4877
電價,NULL,4178
政府,NULL,3028
能源,NULL,2596
媒體,NULL,2091
電費,NULL,1723
公司,NULL,1697
成本,NULL,1690
用電,NULL,1580
發電,NULL,1554
民進黨,NULL,1484
政策,NULL,1432
停電,NULL,1405
電力,NULL,1385
綠能,NULL,1365
綠電,NULL,1352
調漲,NULL,1154
民眾,NULL,1127
國家,NULL,1062
物價,NULL,1058
價格,NULL,1030
核能,NULL,1008
發展,NULL,924
標題,NULL,922
核電,NULL,902
今天,NULL,895
內文,NULL,893
署名,NULL,886
網址,NULL,877
總統,NULL,875
冷氣,NULL,874
經濟部,NULL,851
調整,NULL,847
經濟,NULL,844
使用,NULL,844
不可,NULL,844
機組,NULL,828
增加,NULL,827
時間,NULL,822
光電,NULL,821
造成,NULL,806
連結,NULL,804
供電,NULL,788
電廠,NULL,786
轉載,NULL,785
最後,NULL,781
YAHOOLINEMSN,NULL,779
賴清德,NULL,778
穩定,NULL,755
台北,NULL,751
需要,NULL,742
企業,NULL,721
上漲,NULL,716
天然氣,NULL,712
高雄,NULL,712
根本,NULL,705
from,NULL,682
再生,NULL,666
看到,NULL,659
on,NULL,659
相關,NULL,656
有沒有,NULL,653
地方,NULL,651
my,NULL,648
一直,NULL,639
認為,NULL,630
民生,NULL,625
發生,NULL,621
直接,NULL,620
持續,NULL,619
發現,NULL,618
立委,NULL,616
房價,NULL,613
台積電,NULL,605
燃料,NULL,590
美國,NULL,586
設備,NULL,580
業者,NULL,576
導致,NULL,575
這種,NULL,575
國民黨,NULL,572
預算,NULL,571
不用,NULL,561
核四,NULL,561
王美花,NULL,560
進行,NULL,559
日本,NULL,558
30,NULL,557
過去,NULL,552
市場,NULL,550
人員,NULL,550
Sent,NULL,549
強調,NULL,543
一下,NULL,540
繼續,NULL,539
計畫,NULL,534
工作,NULL,534
柯文哲,NULL,530
中國,NULL,525
社會,NULL,522
系統,NULL,522
無法,NULL,515
處理,NULL,508
原因,NULL,504
侯友宜,NULL,495
電腦,NULL,492
JPTT,NULL,486
漲幅,NULL,481
要求,NULL,475
12,NULL,469
政治,NULL,468
廠商,NULL,461
15,NULL,461
投資,NULL,456
提出,NULL,452
中央,NULL,450
完全,NULL,449
說明,NULL,446
情況,NULL,444
蔡英文,NULL,443
推動,NULL,430
2023,NULL,428
減少,NULL,425
核電廠,NULL,424
討論,NULL,424
房東,NULL,415
用戶,NULL,414
一堆,NULL,414
狀況,NULL,413
之後,NULL,413
台南,NULL,409
11,NULL,407
太陽能,NULL,406
包括,NULL,405
工程,NULL,402
目標,NULL,401
一點,NULL,396
iPhone,NULL,395
最近,NULL,391
需求,NULL,391
世界,NULL,390
緊急,NULL,389
2022,NULL,385
電網,NULL,385
40,NULL,383
土地,NULL,381
轉型,NULL,379
方式,NULL,379
環境,NULL,378
非核,NULL,377
家園,NULL,370
每年,NULL,370
資料,NULL,369
中油,NULL,369
廢料,NULL,368
提供,NULL,367
萬元,NULL,367
主要,NULL,367
生活,NULL,365
小時,NULL,363
變成,NULL,363
全球,NULL,360
一年,NULL,359
申請,NULL,358
報告,NULL,356
實際,NULL,355
備轉,NULL,354
執政,NULL,354
事情,NULL,351
完成,NULL,351
議題,NULL,349
建設,NULL,348
開發,NULL,348
以前,NULL,347
規劃,NULL,339
維持,NULL,338
東西,NULL,337
好像,NULL,337
至少,NULL,332
容量,NULL,331
市府,NULL,331
面對,NULL,328
文章,NULL,328
透過,NULL,327
延役,NULL,327
調查,NULL,327
一次,NULL,327
事實,NULL,326
陳建仁,NULL,325
技術,NULL,324
一度,NULL,323
100,NULL,323
成長,NULL,321
出現,NULL,320
新北,NULL,317
接受,NULL,317
用電量,NULL,315
民間,NULL,315
選擇,NULL,315
雲豹,NULL,314
成為,NULL,314
燃氣,NULL,312
中心,NULL,310
50,NULL,310
工業,NULL,310
台中,NULL,306
特別,NULL,306
財務,NULL,306
預計,NULL,304
反核,NULL,301
發電量,NULL,300
機制,NULL,300
破產,NULL,299
努力,NULL,298
台灣人,NULL,298
行政院,NULL,296
全民,NULL,294
關係,NULL,294
2025,NULL,294
支出,NULL,294
費用,NULL,292
台北市,NULL,291
選舉,NULL,290
回應,NULL,290
代表,NULL,288
方案,NULL,287
正常,NULL,286
每個,NULL,286
大學,NULL,285
備註,NULL,284
市長,NULL,281
節能,NULL,280
風電,NULL,279
燃煤,NULL,278
搶修,NULL,278
跳電,NULL,277
費率,NULL,276
準備,NULL,275
18,NULL,274
更多,NULL,273
委員會,NULL,272
本來,NULL,271
越來越,NULL,269
尖峰,NULL,269
