word,count
發布 時間,301
原文 標題,299
連結 發布,299
原文 內容,295
原文 連結,294
記者 署名,286
心得 評論,284
時間 記者,236
張券 增張,156
退場 機制,144
分析 正文,123
交易 統計,111
信用 交易,111
網址 內文,107
資增 張券,104
排行 來源,98
買賣 排行,98
先進 製程,97
精選 高息,94
台灣 精選,89
資料 來源,85
台灣 科技,84
半導體 產業,83
討論 心得,80
歷史 新高,79
晶圓 代工,79
台灣 半導體,78
投信 外資,78
復華 台灣,78
群益 台灣,77
排行 股票名稱,76
證券 名稱,75
證券 代號,74
代號 證券,74
排行 證券,74
年月日 信用,74
交易 單位,74
先進 封裝,73
自營商 投信,72
國泰 美債,71
百萬 收盤價,70
收盤價 漲跌,70
股票名稱 百萬,70
科技 優息,67
中信 中國,66
金額 排行,66
分類 分析,65
永續 股息,64
月光 投控,62
費城 半導體,61
台積 電在,61
國泰 永續,58
成交量 億台,58
半導體 供應鏈,58
台積 電聯,56
標的 台積電,56
內文 買超,54
地緣 政治,53
漲跌 超過,52
機制 討論,52
數排 名中,52
停損 機制,51
心得 類免,50
投資者 停損,50
長期 投資者,50
奈米 製程,49
證券 交易所,47
報導 原文,47
出口 管制,47
臺灣 證券,45
來源 臺灣,44
復華 富時,43
漲停 家數,43
富時 不動產,43
製程 技術,43
買超 金額,42
恒生 國企,41
來源 謝謝,41
排行 台積,40
機制 長期投資,40
來源 網址,40
公司 網站,40
定期 定額,39
台積電 長期,39
工具 內文,39
網址 工具,39
善用 網址,39
網址 善用,39
網站 網址,39
中國 股息,39
刪除 內容,39
櫃檯 買賣,39
台積電 股價,39
國泰 台灣,38
標題 上市,38
證券 櫃檯,38
例台 積電,38
積電 分類,38
買賣 中心,38
外資 買賣,38
標題 使用,38
以下 格式,37
股名 分類,37
市場 股名,37
股號 市場,37
格式 股號,37
中心 公司,37
使用 以下,37
文處份 標題,37
分類 市場,37
償還 前日,37
板規 文處份,37
格式 板規,37
未依 格式,37
標題 年月日,37
長期 不停,37
市場 標的,37
名稱 買超,37
交易所 證券,37
統計 來源,37
內文 年月日,37
統計 項目,37
項目 買進賣出,37
內容 標的,37
火星 刪除,37
內容 台股,37
馬斯克 火星,37
特斯拉 馬斯克,37
標的 特斯拉,37
損多 標的,37
不停 損多,37
買進賣出 現金,37
前日 餘額,37
現金 償還,37
今日 餘額,37
內容 未依,37
融資 交易,37
賣超 金額,37
買超 排行,37
單位 融券,37
融券 交易,37
單位 融資,37
融資 金額,37
餘額 融資,37
長期投資 輸入,37
輸入 損價,37
損價 依板,37
依板 規處份,37
規處份 格式,37
格式 輸入,37
餘額 今日,37
輸入 內容,37
外資 指選,36
公股 銀行,36
八大 公股,36
選高 股息,36
指期 自營商,36
邦特 選高,36
買超 億元,36
成交量 排行,36
時間 年月日,36
多空 理由,36
成交 排行,36
台北 報導,36
處份 退場,36
板規 處份,36
充實 板規,36
指選 自營商,36
理由 充實,36
內文 多空,36
充實 內文,36
文未 充實,36
發標 文未,36
外資 漲停,36
來源 投信,35
超過 買超,35
智能 電動車,35
外資 排行,35
投信 排行,35
家數 成交量,35
買超 賣超,34
街口 布蘭特,34
國泰 智能,34
手機 介面,34
介面 圖片,34
圖片 讀版,34
國泰 費城,34
依張數 排列,33
台積電 分類,33
台積電 熊本,33
排行 賣超,33
標題 八大,33
數排 股票,33
股票 數排,33
增張券 增張,33
銀行 買賣,33
排名 股票,33
股網 網址,33
來源 股網,33
內文 手機,33
發現 問題,33
資訊 依張數,33
以下 資訊,33
讀版 以下,33
上述 數排,33
問題 請留,33
排列 買超,33
名中 漲跌,33
賣超 排名,33
請留 通知,33
資本 支出,32
機制 長期,32
跌停 家數,32
台積 電奈米,31
億台 指期,31
台積 電法,31
內容 台積電,30
美債 國泰,30
家數 跌停,30
台股 成交量,30
口櫃 成交量,29
投信 買賣,29
億台 成交量,29
分類 多空,29
署名 經濟日報,29
成交量 口櫃,29
元大高 股息,29
名稱 賣超,29
標題 台積電,28
半導體 指數,28
關鍵 半導體,28
署名 原文,28
分類 討論,28
台積 電是,27
供應鏈 廠商,27
買超 張數,27
台積 電大,27
增張 台積,27
多空 討論,27
標題 台積,27
中信 關鍵,26
上市 外資,26
指數 上漲,26
電資增 張券,26
市場 預期,26
統計 資增,25
標題 台股,25
護國 神山,25
優利高 填息,25
大華 優利高,25
心得 分析,24
無關 分類,24
賣超 排行,24
那斯 達克,24
上海 商銀,24
刪除 無關,24
選擇 刪除,24
經濟日報 記者,24
董事長 金河,23
台積 電年,23
永續 高息,23
資本 市場,23
報導 指出,22
股票 張數,22
積電 股價,22
漲停 跌停,22
台幣 億元,22
智慧 手機,22
署名 記者,22
京元 電子,22
討論 分析,22
傳媒 董事長,22
賣超 張數,22
上市 共有,21
台股 今日,21
漲跌 台積,21
長老 買油,21
用電 大戶,21
對台 積電,21
上游 半導體,21
創下 歷史,21
台股 萬點,20
中信 成長,20
美國 公債,20
富邦 恒生,20
共有 漲停,20
成長 股息,20
國泰 金融債,20
成熟 製程,20
寬量 國際,20
熊本 二廠,20
嘉義 科學園區,20
今日 上市,20
賣超 漲停,20
標普 指數,19
台灣 經濟,19
來源 台灣,19
表示 台股,19
獲利 了結,19
名中 未有,19
站上 萬點,19
復華 香港,19
台灣 證交所,19
證交所 網址,19
奈米 晶片,19
指數 下跌,19
全球 半導體,19
大高 股息,19
股東 人數,19
政治 風險,19
大美債 國泰,18
財信 傳媒,18
中信 上游,18
半導體 收益,18
外資 買超,18
漲停 顆燈,18
金河 表示,18
臺灣 科技,18
摩根 大通,18
優選 股息,18
標題 投信,18
知情 人士,18
統一 美債,18
櫃買 信用,18
智慧型 手機,18
現金 股利,18
上漲 機率,17
跌停 長老,17
股息 國泰,17
增張 群益,17
公司 治理,17
總裁 魏哲家,17
電聯 發科,17
產能 利用率,17
高息 中小,17
標的 例台,17
北美 科技,17
國泰 北美,17
合作 夥伴,17
標題 外資,17
三陽 工業,16
指出 台積電,16
報告 指出,16
增張 櫃買,16
成長 動能,16
台積 電將,16
美元 市值,16
資料 中心,16
資增 張券增,16
代工 服務,16
營收 億元,16
增張 大台灣,16
美債 發現,16
國泰 美債元,16
美債元 大美債,15
綜合 報導,15
買超 漲跌,15
長期 持有,15
中信 美國,15
綜合 外電,15
達克 指數,15
下午 記者,15
中芯 國際,15
積電 目標價,15
買超 數排,15
億券 增張,15
晶片 製造,15
輝達 財報,15
台積電 先進,15
張數 群益,15
盤中 一度,15
生產 晶片,15
輝達 股價,15
未有 買超,15
代工 龍頭,15
日本 熊本,14
