word,count
連結 發布 時間,299
原文 連結 發布,293
時間 記者 署名,234
發布 時間 記者,233
信用 交易 統計,111
買賣 排行 來源,97
台灣 精選 高息,89
資增 張券 增張,88
復華 台灣 科技,78
群益 台灣 精選,76
年月日 信用 交易,74
代號 證券 名稱,74
排行 證券 代號,74
證券 代號 證券,74
自營商 投信 外資,72
排行 股票名稱 百萬,70
股票名稱 百萬 收盤價,70
百萬 收盤價 漲跌,70
分類 分析 正文,65
國泰 永續 股息,58
台灣 科技 優息,58
網址 內文 買超,54
討論 心得 類免,50
長期 投資者 停損,50
投資者 停損 機制,50
機制 討論 心得,50
停損 機制 討論,50
報導 原文 內容,47
臺灣 證券 交易所,45
來源 臺灣 證券,44
復華 富時 不動產,43
資料 來源 謝謝,41
來源 網址 內文,40
退場 機制 長期投資,40
網址 善用 網址,39
網址 工具 內文,39
善用 網址 工具,39
證券 櫃檯 買賣,38
台灣 半導體 供應鏈,38
網站 網址 善用,38
公司 網站 網址,38
櫃檯 買賣 中心,38
內容 未依 格式,37
證券 名稱 買超,37
買超 排行 證券,37
板規 文處份 標題,37
內文 買超 排行,37
中心 公司 網站,37
買賣 中心 公司,37
格式 板規 文處份,37
未依 格式 板規,37
格式 輸入 內容,37
標題 年月日 信用,37
交易所 證券 櫃檯,37
證券 交易所 證券,37
機制 長期投資 輸入,37
長期投資 輸入 損價,37
排行 來源 網址,37
輸入 損價 依板,37
統計 來源 臺灣,37
輸入 內容 未依,37
交易 統計 來源,37
損價 依板 規處份,37
依板 規處份 格式,37
規處份 格式 輸入,37
例台 積電 分類,37
以下 格式 股號,37
工具 內文 年月日,37
交易 單位 融資,37
融券 交易 單位,37
股名 分類 市場,37
文處份 標題 使用,37
市場 標的 台積電,37
標的 台積電 長期,37
台積電 長期 不停,37
長期 不停 損多,37
單位 融資 金額,37
交易 單位 融券,37
不停 損多 標的,37
損多 標的 特斯拉,37
標的 特斯拉 馬斯克,37
特斯拉 馬斯克 火星,37
馬斯克 火星 刪除,37
火星 刪除 內容,37
刪除 內容 標的,37
單位 融券 交易,37
分類 市場 標的,37
融資 交易 單位,37
項目 買進賣出 現金,37
使用 以下 格式,37
統計 項目 買進賣出,37
內文 年月日 信用,37
標題 使用 以下,37
餘額 融資 交易,37
格式 股號 市場,37
股號 市場 股名,37
交易 統計 項目,37
買進賣出 現金 償還,37
現金 償還 前日,37
償還 前日 餘額,37
前日 餘額 今日,37
餘額 今日 餘額,37
今日 餘額 融資,37
市場 股名 分類,37
內文 多空 理由,36
充實 內文 多空,36
邦特 選高 股息,36
文未 充實 內文,36
處份 退場 機制,36
多空 理由 充實,36
充實 板規 處份,36
板規 處份 退場,36
外資 買賣 排行,36
中信 中國 股息,36
發標 文未 充實,36
理由 充實 板規,36
外資 指選 自營商,36
指期 自營商 投信,36
外資 漲停 家數,36
投信 外資 漲停,36
指選 自營商 投信,36
投信 外資 指選,36
原文 內容 台股,35
投信 排行 股票名稱,35
八大 公股 銀行,35
來源 投信 排行,35
資料 來源 投信,35
家數 成交量 排行,35
外資 排行 股票名稱,35
漲跌 超過 買超,35
國泰 智能 電動車,34
介面 圖片 讀版,34
國泰 費城 半導體,34
手機 介面 圖片,34
發布 時間 年月日,34
發現 問題 請留,33
賣超 金額 排行,33
標題 八大 公股,33
公股 銀行 買賣,33
銀行 買賣 排行,33
排行 來源 股網,33
來源 股網 網址,33
股網 網址 內文,33
網址 內文 手機,33
問題 請留 通知,33
內文 手機 介面,33
名中 漲跌 超過,33
上述 數排 名中,33
數排 名中 漲跌,33
圖片 讀版 以下,33
買超 金額 排行,33
金額 排行 賣超,33
排行 賣超 金額,33
股票 數排 股票,33
排名 股票 數排,33
賣超 排名 股票,33
買超 賣超 排名,33
排列 買超 賣超,33
依張數 排列 買超,33
資訊 依張數 排列,33
以下 資訊 依張數,33
