word,count
長榮,15
台積電,10
排行,9
台積,9
本益比,8
股息,7
來源,6
日本,6
中信,6
台灣,6
積電,6
市場,5
華航,5
投信,5
買超,5
外資,5
國泰,5
成長,5
永豐,5
成交量,4
林偉智,4
標題,4
陽明,4
漲跌,4
群創,4
大神,4
目前,4
遠東,4
美債,4
先進,4
統一,4
三陽,4
製程,4
金台,4
工業,4
買賣,3
股票名稱,3
美國,3
內文,3
網址,3
漲停,3
股票,3
賣超,3
奈米,3
資料,3
機會,3
趨勢,3
景氣,3
和碩,3
需求,3
原文,3
熊本,3
執行,3
自營,3
法人,3
營收,3
時間,3
投控,3
實體法,3
內外資,3
研究所,3
副總,3
產業,3
變化,2
軌道,2
證交所,2
封裝,2
嘉義,2
錢包,2
循環,2
台幣,2
智璞,2
成交,2
河流,2
部分,2
金大,2
成霖,2
日線,2
精誠,2
理解,2
聯大,2
發問,2
月光,2
機構,2
最有,2
大阪,2
競國,2
家數,2
億台,2
舉辦,2
科技,2
主要,2
說會,2
標竿,2
客戶,2
傳出,2
恢復,2
大同,2
自營商,2
睽違,2
鴻海台,2
跌停,2
設立,2
只想,2
東元,2
重返,2
友達,2
地緣,2
今年,2
政治,2
威盛,2
排名,2
想要,2
宏碁,2
邦特,2
復華,2
中興,2
計算,2
選高,2
亞力,2
全球,2
半導體,2
中鋼,2
企銀,2
中國,2
數排,2
玉山,2
最後,2
發現,2
代工,2
華城,2
航世芯,2
百萬,2
收盤價,2
金東,2
問題,2
大台灣,2
穩健,2
金額,2
謝謝,2
街口,2
布蘭特,2
大美債,2
永續,2
保守,2
目標價,2
聚陽勤,1
科聯,1
詠奇,1
中砂,1
發科瑞昱,1
智邦台,1
矽格智原,1
國巨聯強,1
敦陽科,1
光電,1
電兆豐,1
雄獅,1
航仁,1
口櫃,1
指期,1
指選,1
電世芯,1
偷偷,1
紅包,1
是不是,1
正新,1
玻瑞儀,1
新中租,1
東陽,1
餘大亞,1
強茂福懋聯,1
伸正,1
榮運,1
全欣興,1
觀點,1
正向,1
推測,1
合理,1
股價,1
共識,1
動能,1
中鴻,1
誠健鼎,1
投控致,1
唐裕融,1
證賣,1
金力積,1
電萬海緯,1
創華,1
通力,1
企銀佳世,1
達亞,1
泥旺宏,1
文曄,1
正隆,1
台泥,1
華新,1
南亞,1
嘉潤泰,1
上台,1
新金,1
鋼國,1
優息華邦電,1
正元,1
富時,1
不動產,1
新興,1
元大美債,1
正晶,1
豪科神,1
達富,1
高息,1
中小,1
榮運亞翔,1
宏達,1
電定,1
台驊,1
大滬深,1
今年年底,1
潤泰全,1
新富,1
上品,1
金像,1
電晶,1
辛耘,1
緯穎大,1
成鋼,1
報名,1
亞泥,1
元大高,1
基遠,1
聯嘉賣,1
百啟,1
成致,1
投控台,1
精成科,1
裕隆,1
大聯電,1
上緯,1
達方,1
致茂智易,1
英業達,1
京城,1
銀南,1
建神,1
全新,1
豐泰,1
天鈺,1
萬海合庫,1
華南,1
金上,1
彰銀,1
亞科,1
正訊舟,1
微星,1
智原,1
彩晶,1
對台,1
公股,1
實體,1
反潤,1
信旺矽,1
鴻海,1
優利高,1
填息,1
中租,1
敦泰寶成,1
泰金寶芯鼎,1
餘神基,1
飛宏,1
三商壽南電,1
至上,1
八大,1
新年,1
銀行,1
股網,1
通知,1
手機,1
圖片,1
讀版,1
以下,1
資訊,1
依張數,1
排列,1
張數,1
旺宏元,1
旭軟元,1
請留,1
玻一詮,1
公債,1
泰新凱基,1
優選,1
兆豐,1
金華,1
鋼鐵,1
電大,1
新晶,1
技國票,1
道瓊,1
正合機,1
上述,1
名中,1
超過,1
華興,1
超亞,1
矽旭,1
軟訊達,1
