system_id,word,ner
1,台電,ORG
2,台灣,NORP
3,半夜,TIME
3,台電,ORG
3,半夜,TIME
3,台電,ORG
3,半夜,TIME
3,環保局,ORG
4,六百億,CARDINAL
4,六千,CARDINAL
4,兩,CARDINAL
4,幾百億,CARDINAL
4,兩,CARDINAL
4,六千,CARDINAL
5,夏天,DATE
5,兩,CARDINAL
5,三個月,DATE
5,公斤,QUANTITY
5,三,CARDINAL
6,盧秀燕,PERSON
6,新竹球場,FAC
6,台中,GPE
6,聯合新聞網,ORG
6,聯合報,ORG
6,陳秋雲,PERSON
6,台中,GPE
6,台中市議會,ORG
6,韓國,GPE
6,高雄,GPE
6,台中巨蛋,FAC
6,民進黨,ORG
6,國民黨,ORG
6,明天,DATE
6,日議會,ORG
6,二三,CARDINAL
6,台中,GPE
6,盧秀燕,PERSON
6,三,CARDINAL
6,陳淑華,PERSON
6,去年底,DATE
6,陳,PERSON
6,盧秀燕,PERSON
6,盧秀燕,PERSON
6,新竹棒球場,FAC
6,億變億,CARDINAL
6,台南捷運,FAC
6,億,CARDINAL
6,第二,ORDINAL
6,今天,DATE
6,都發局長,ORG
6,李正偉,PERSON
6,李昱叡,PERSON
6,近億,CARDINAL
6,盧秀燕,PERSON
6,台中,GPE
6,洲際棒球場,FAC
6,資多億,MONEY
6,同時多功能運動中心,ORG
6,北屯,GPE
6,西屯,GPE
6,兩,CARDINAL
6,盧,PERSON
6,台中,GPE
6,運動局長,ORG
6,李昱叡,PERSON
6,台中國民運動中心,FAC
6,財政部,ORG
6,國民黨,ORG
6,黃馨慧,PERSON
6,黃健豪,PERSON
6,台中巨蛋,FAC
6,台中,GPE
6,盧秀燕,PERSON
6,新竹球場,FAC
6,台中,GPE
6,陳秋雲,PERSON
7,澳洲,GPE
7,澳幣,MONEY
7,澳幣約元台幣,MONEY
7,澳洲,GPE
7,台灣,GPE
7,公斤,QUANTITY
7,兩百元,MONEY
7,農委會,ORG
7,農委會,ORG
7,農委會,ORG
7,台灣,GPE
7,澳洲,GPE
7,幾百萬,CARDINAL
7,農委會,ORG
7,澳洲,NORP
8,童子賢,PERSON
8,台灣,PERSON
8,方韋傑,PERSON
8,台北,GPE
8,和碩,ORG
8,童子賢,PERSON
8,今天,DATE
8,台灣,GPE
8,童子賢,PERSON
8,兩,CARDINAL
8,馬,PERSON
8,童子賢,PERSON
8,台灣,GPE
8,台灣,GPE
8,幾億,CARDINAL
8,童子賢,PERSON
8,蔡,PERSON
8,台電,ORG
8,中油,ORG
8,童子賢,PERSON
8,烏俄戰爭,EVENT
8,童子賢,PERSON
8,國際能源總署,ORG
8,台灣,GPE
8,核四,FAC
8,童子賢,PERSON
8,未來年,DATE
8,台灣,GPE
8,台灣,GPE
8,第三,ORDINAL
8,台灣,GPE
8,億元至億元,MONEY
8,台灣人,NORP
9,三,CARDINAL
9,核四,FAC
9,台灣,GPE
10,台電,ORG
10,第次,ORDINAL
10,十幾年來,DATE
10,馬英九,PERSON
10,億,CARDINAL
10,十年,DATE
11,台電,ORG
11,自由時報,ORG
11,廖家寧,PERSON
11,台電,ORG
11,台電,ORG
11,法,GPE
11,韓,GPE
11,台電,ORG
11,台電,ORG
11,台灣,GPE
11,台電,ORG
11,台電,ORG
11,台電,ORG
11,去年,DATE
11,前年,DATE
11,台電,ORG
11,前年,DATE
11,億元,MONEY
11,去年,DATE
11,億元,MONEY
11,台電,ORG
11,台電,ORG
11,法國國營電力公司,ORG
11,台幣億元,MONEY
11,韓國,GPE
11,去年,DATE
11,台幣億元,MONEY
11,台電,ORG
11,法,GPE
11,韓,GPE
11,台電,ORG
11,法國國營電力公司,ORG
11,億度,QUANTITY
11,韓國,GPE
11,韓國電力公司,ORG
11,去年,DATE
11,億度,QUANTITY
11,台電,ORG
11,去年,DATE
11,億度,QUANTITY
11,台電,ORG
11,法國,GPE
11,台灣,GPE
11,台灣,GPE
11,同年度,DATE
11,台灣,GPE
11,今年,DATE
11,韓國,GPE
11,台電,ORG
11,台灣,GPE
11,台電,ORG
12,台電,ORG
12,台電,ORG
12,台電,ORG
12,台電,ORG
12,王,PERSON
12,台積電,ORG
12,台電,ORG
13,台灣,GPE
13,台灣,GPE
13,台灣,GPE
13,今天,DATE
13,童子賢,PERSON
13,台灣,GPE
13,台灣,GPE
13,台灣,GPE
13,台灣,GPE
13,今天,DATE
13,人民幣,MONEY
13,三,CARDINAL
13,台灣,GPE
13,三十年,DATE
13,蔡英文,PERSON
13,台電,ORG
13,台灣,GPE
13,蔡英文,PERSON
13,電業法,LAW
13,台電,ORG
13,當年,DATE
13,今天,DATE
13,台塑,ORG
13,烏俄戰爭,EVENT
13,八,CARDINAL
13,馬英九,PERSON
13,八,CARDINAL
13,烏俄戰爭,EVENT
13,四,CARDINAL
13,七年,DATE
13,八,CARDINAL
13,台灣,GPE
13,九成,CARDINAL
13,台積電,ORG
13,六年,DATE
13,上萬,CARDINAL
13,五六元,MONEY
14,下歲,DATE
14,台電,ORG
14,美國安能公司,ORG
14,美國,GPE
15,中央社,ORG
15,吳家豪,PERSON
15,子賢,PERSON
15,台灣,GPE
15,童子賢,PERSON
15,今天,DATE
15,台灣,GPE
15,台灣,GPE
15,童子賢,PERSON
15,今天,DATE
15,文化事業群,ORG
15,台灣,GPE
15,童子賢,PERSON
15,台灣,NORP
15,台灣,GPE
15,台灣,GPE
15,好幾億元,MONEY
15,童子賢,PERSON
