artDate,sentiment_class,size
2023-03-21,正向,10
2023-03-21,負向,19
2023-03-22,正向,15
2023-03-22,負向,17
2023-03-23,正向,10
2023-03-23,負向,19
2023-03-24,正向,15
2023-03-24,負向,23
2023-03-25,正向,7
2023-03-25,負向,10
2023-03-26,負向,9
2023-03-26,正向,2
2023-03-27,正向,5
2023-03-27,負向,5
2023-03-28,正向,3
2023-03-28,負向,7
2023-03-29,正向,10
2023-03-29,負向,6
2023-03-30,正向,2
2023-03-30,負向,10
2023-03-31,負向,12
2023-03-31,正向,5
2023-04-01,正向,4
2023-04-01,負向,7
2023-04-02,正向,2
2023-04-02,負向,3
2023-04-03,正向,6
2023-04-03,負向,6
2023-04-04,正向,2
2023-04-04,負向,5
2023-04-05,負向,5
2023-04-05,正向,6
2023-04-06,正向,3
2023-04-06,負向,15
2023-04-07,正向,7
2023-04-07,負向,5
2023-04-08,正向,4
2023-04-08,負向,5
2023-04-09,負向,3
2023-04-09,正向,2
2023-04-10,負向,9
2023-04-10,正向,3
2023-04-11,正向,3
2023-04-11,負向,12
2023-04-12,正向,4
2023-04-12,負向,8
2023-04-13,正向,4
2023-04-13,負向,8
2023-04-14,正向,2
2023-04-14,負向,6
2023-04-15,負向,5
2023-04-15,正向,2
2023-04-16,正向,4
2023-04-16,負向,18
2023-04-17,正向,7
2023-04-17,負向,6
2023-04-18,正向,4
2023-04-18,負向,12
2023-04-19,正向,5
2023-04-19,負向,19
2023-04-20,負向,11
2023-04-20,正向,5
2023-04-21,正向,8
2023-04-21,負向,11
2023-04-22,正向,3
2023-04-22,負向,7
2023-04-23,正向,4
2023-04-23,負向,11
2023-04-24,負向,11
2023-04-24,正向,5
2023-04-25,負向,22
2023-04-25,正向,6
2023-04-26,正向,2
2023-04-26,負向,12
2023-04-27,正向,2
2023-04-27,負向,8
2023-04-28,負向,7
2023-04-29,正向,3
2023-04-29,負向,3
2023-04-30,負向,5
2023-04-30,正向,4
2023-05-01,負向,14
2023-05-01,正向,6
2023-05-02,正向,6
2023-05-02,負向,12
2023-05-03,正向,8
2023-05-03,負向,5
2023-05-04,正向,8
2023-05-04,負向,7
2023-05-05,正向,10
2023-05-05,負向,13
2023-05-06,負向,11
2023-05-06,正向,8
2023-05-07,正向,2
2023-05-07,負向,13
2023-05-08,正向,4
2023-05-08,負向,9
2023-05-09,正向,2
2023-05-09,負向,7
2023-05-10,負向,3
2023-05-11,正向,1
2023-05-11,負向,5
2023-05-12,負向,5
2023-05-12,正向,5
2023-05-13,正向,3
2023-05-13,負向,16
2023-05-14,正向,4
2023-05-14,負向,4
2023-05-15,正向,5
2023-05-15,負向,7
2023-05-16,正向,4
2023-05-16,負向,7
2023-05-17,負向,1
2023-05-17,正向,4
2023-05-18,正向,3
2023-05-18,負向,9
2023-05-19,正向,1
2023-05-19,負向,2
2023-05-20,正向,2
2023-05-20,負向,6
2023-05-21,正向,1
2023-05-21,負向,2
2023-05-22,負向,4
2023-05-23,負向,2
2023-05-23,正向,2
2023-05-24,正向,1
2023-05-24,負向,3
2023-05-25,正向,4
2023-05-25,負向,5
2023-05-26,正向,2
2023-05-26,負向,4
2023-05-27,正向,5
2023-05-27,負向,5
2023-05-28,負向,8
2023-05-28,正向,8
2023-05-29,正向,7
