system_id,word,ner
1,台電,ORG
1,監察院,ORG
1,查兆億,PERSON
2,壹蘋新聞網,ORG
2,蘇柏銓,PERSON
2,台北,GPE
2,趙少康,PERSON
2,下午,TIME
2,國民黨,ORG
2,趙少康,PERSON
2,民進黨,ORG
2,蕭美琴,PERSON
2,民眾黨,ORG
2,吳欣盈,PERSON
2,趙少康,PERSON
2,中廣,ORG
2,賴清德,PERSON
2,仁愛路,FAC
2,趙少康,PERSON
2,中廣,ORG
2,中廣,ORG
2,趙少康,PERSON
2,賴清德,PERSON
2,賴清德,PERSON
2,賴,PERSON
2,萬,CARDINAL
2,趙少康,PERSON
2,中廣,ORG
2,趙少康,PERSON
2,仁愛路,FAC
2,賴清德,PERSON
2,乾,PERSON
3,國安局,ORG
3,賴清德萬里,PERSON
3,八千元,MONEY
3,聯合報,ORG
3,洪哲政,PERSON
3,國安局,ORG
3,今天,DATE
3,萬里,PERSON
3,賴,PERSON
3,萬里,PERSON
3,國安局,ORG
3,今天,DATE
3,萬里,PERSON
3,特勤中心,ORG
3,特勤條例,LAW
3,國安局,ORG
3,今天,DATE
4,聯合報,WORK_OF_ART
4,張睿廷,PERSON
4,趙少康,PERSON
4,民進黨,ORG
4,蕭美琴,PERSON
4,台灣,GPE
4,民進黨,ORG
4,蕭美琴,PERSON
4,台灣,GPE
4,蕭美琴,PERSON
4,台灣,GPE
4,台北市攝影記者聯誼會,ORG
4,國民黨,ORG
4,趙少康,PERSON
4,民進黨,ORG
4,蕭美琴,PERSON
4,台灣,GPE
4,蔡英文,PERSON
4,蕭美琴,PERSON
4,台灣,GPE
4,趙少康,PERSON
4,蕭美琴,PERSON
4,台灣,GPE
4,中華民國,GPE
4,馬英九,PERSON
4,蔡英文,PERSON
4,趙少康,PERSON
4,蕭美琴,PERSON
4,吳欣盈,PERSON
4,美國人,NORP
4,美國,GPE
4,中華民國台灣,GPE
4,美國,GPE
4,兩,CARDINAL
4,趙少康,PERSON
4,美國人,NORP
4,蕭美琴,PERSON
4,台積電,ORG
4,美國,GPE
4,台積電,ORG
4,張忠,PERSON
4,民進黨,ORG
4,台積電,ORG
4,劉德音,PERSON
4,美國,GPE
4,台積電,ORG
4,美國人,NORP
4,蕭美琴,PERSON
4,台積電,ORG
4,蕭美琴,PERSON
4,台灣,GPE
4,台灣,GPE
4,馬英九,PERSON
4,蔡英文,PERSON
4,這幾年,DATE
4,台電,ORG
4,蕭美琴,PERSON
4,台電,ORG
4,蕭美琴,PERSON
4,美國,GPE
4,百年,DATE
4,翡翠水庫,FAC
4,民進黨,ORG
4,賴清德,PERSON
4,行政院長,ORG
4,蕭美琴,PERSON
4,台積電,ORG
4,美,GPE
4,台積電,ORG
4,吳欣盈,PERSON
4,柯盈配,PERSON
4,核二核三,FAC
4,核四,FAC
4,台灣,GPE
4,台灣,GPE
4,吳欣盈,PERSON
4,立法院,ORG
4,台灣,GPE
4,台灣,GPE
4,兩,CARDINAL
5,黃建豪,PERSON
5,趙少康,PERSON
5,國民黨,ORG
5,趙少康,PERSON
5,今日,DATE
5,未來年,DATE
5,薪水毛,PERSON
5,趙少康,PERSON
5,民進黨,ORG
5,賴清德,PERSON
5,賴清德,PERSON
5,憲法,LAW
5,憲法,LAW
5,未來年,DATE
5,趙少康,PERSON
5,台北市仁愛路,FAC
5,呂秀蓮,PERSON
5,賴清德,PERSON
5,趙少康,PERSON
5,民進黨,ORG
5,侯友宜,PERSON
5,侯友宜,PERSON
5,嘉義菜市場,FAC
5,趙少康,PERSON
5,共產黨,ORG
5,共產黨,ORG
5,抗日,GPE
5,共產黨,ORG
5,兩,CARDINAL
5,九生,PERSON
5,共產黨,ORG
5,大陸,GPE
5,侯友宜,PERSON
5,民進黨,ORG
5,兩岸,GPE
5,萬,CARDINAL
5,阿斗,PERSON
5,三,CARDINAL
5,三,CARDINAL
5,三,CARDINAL
6,趙少康,PERSON
6,守賴,PERSON
6,國安局,ORG
6,中央社,ORG
6,游凱翔,PERSON
6,台北,GPE
6,國民黨,ORG
6,趙少康,PERSON
6,今天,DATE
6,國安局,ORG
6,賴清德萬里,PERSON
6,國安局,ORG
6,今天,DATE
6,下午,TIME
6,公視,ORG
6,民眾黨,ORG
6,吳欣盈,PERSON
6,民進黨,ORG
6,蕭美琴,PERSON
6,國民黨,ORG
6,趙少康,PERSON
6,第階段,ORDINAL
6,趙少康,PERSON
6,民進黨,ORG
6,賴清德,PERSON
6,新北萬里,PERSON
6,賴清,PERSON
6,德,GPE
6,國安局,ORG
6,新台幣萬元,MONEY
6,萬元,MONEY
6,國家安全局,ORG
6,下午,TIME
6,中央社,ORG
6,賴,PERSON
6,萬里,PERSON
6,勤中心,ORG
6,特勤條例,LAW
6,國安局,ORG
6,黃國倫,PERSON
7,億度,QUANTITY
7,二十年,DATE
7,千億,CARDINAL
7,兩兆,CARDINAL
7,民進黨,ORG
7,民進黨,ORG
7,千億,CARDINAL
7,民進黨,ORG
8,嚴文廷,PERSON
8,林雨佑,PERSON
8,孔德廉,PERSON
8,鄭宇辰,PERSON
8,何榮幸,PERSON
8,張詩芸,PERSON
8,陳思樺,PERSON
8,趙攻勢,PERSON
8,中廣,ORG
8,吳談,PERSON
8,蕭,PERSON
8,趙吳共,PERSON
8,商國,PERSON
8,年月日,DATE
8,下午,TIME
8,民進黨,ORG
8,蕭美琴,PERSON
8,吳欣盈,PERSON
8,國民黨,ORG
8,趙少康,PERSON
8,台北市,GPE
8,聯誼會,ORG
8,今日年月日,DATE
8,下午點,TIME
8,國民黨,ORG
8,趙少康,PERSON
8,民進黨,ORG
8,民眾黨,ORG
8,吳欣盈,PERSON
8,趙少康,PERSON
8,布,PERSON
8,中廣,ORG
8,蕭美琴,PERSON
8,趙吳,PERSON
8,兩,CARDINAL
8,吳欣盈,PERSON
8,二,CARDINAL
8,公視,ORG
8,胡元輝,PERSON
8,公視,ORG
8,胡元輝,PERSON
8,台北市攝影記者聯誼會,ORG
8,第階,ORDINAL
8,這年來,DATE
8,台灣,GPE
8,台灣,GPE
8,台灣人,NORP
8,台灣,GPE
8,亞洲,GPE
8,四,CARDINAL
8,台灣,GPE
8,台灣乳腺癌患者協會,ORG
8,中華民,GPE
8,國乳癌病友協會,ORG
8,布希,PERSON
8,時代週刊,WORK_OF_ART
8,二,CARDINAL
8,台灣,GPE
8,民眾黨,ORG
8,台灣,GPE
8,民進黨,ORG
8,台灣,GPE
8,台灣,GPE
8,台海,LOC
8,台海,LOC
8,民進黨,ORG
8,馬英九,PERSON
8,時代年,DATE
8,國民黨,ORG
8,趙少康,PERSON
8,中廣,ORG
8,台北市攝影記者聯誼會,ORG
8,中廣公司,ORG
8,賴清德,PERSON
8,秋水,PERSON
8,未來年,DATE
8,仁愛路,FAC
8,第二,ORDINAL
8,自由時報,WORK_OF_ART
8,陳杉榮,PERSON
8,蕭美琴,PERSON
8,兩岸,GPE
8,吳欣盈,PERSON
8,趙少康,PERSON
8,台灣,GPE
8,中國,GPE
8,台灣,GPE
8,台灣,GPE
8,美國,GPE
8,國會,ORG
8,美國,GPE
8,美商,NORP
8,台,GPE
8,吳欣盈,PERSON
8,二,CARDINAL
8,台北市攝影記者聯誼會,ORG
8,第個,ORDINAL
8,二,CARDINAL
8,台灣,GPE
8,歐盟,ORG
8,台灣,GPE
8,台灣,GPE
8,台積電,ORG
8,台灣,GPE
8,台灣,GPE
8,外交部長,ORG
8,錢復,PERSON
8,大陸,GPE
8,民進黨,ORG
8,大陸,GPE
8,環保署長,ORG
8,法國,GPE
8,荷蘭德國法國,GPE
8,十幾,CARDINAL
8,民視,ORG
8,許仲江,PERSON
8,中國,GPE
8,台灣,GPE
8,台灣,GPE
8,這幾年,DATE
8,個月,DATE
8,台灣,GPE
8,兩岸,LOC
8,中國,GPE
8,萬塊,MONEY
8,第個,ORDINAL
8,第二,ORDINAL
8,第三,ORDINAL
8,台海,LOC
8,錢怡君,PERSON
8,台灣,GPE
8,台灣,GPE
