system_id,word,pos
1,特別,VH
1,預算,Na
1,特別,VH
1,預算,Na
1,預防,VE
1,發生,VJ
1,重大,VH
1,意外,Na
1,時,Ng
1,的,DE
1,救命錢,Na
1,億,Neu
1,防疫,VA
1,高端,A
1,合約,Na
1,封存,VC
1,年,Na
1,沒有,VJ
1,會議,Na
1,紀錄,Na
1,前瞻,VC
1,數位部,Nc
1,直,D
1,出國,VA
1,妖獸,Na
1,讚,VC
1,台電,Nc
1,破產,VH
1,電價,Na
1,又,D
1,漲,VH
1,加,VC
1,蛋,Na
1,查年查完,VE
1,沒,D
1,我,Nh
1,讀書,VA
1,少,VH
1,你,Nh
1,不要,D
1,騙,VC
1,我,Nh
1,監察院,Nc
1,查兆億,Nb
1,特別,VH
1,預算,Na
1,查到,VE
1,哪,Nep
2,備註,VE
2,請,VF
2,放,VC
2,最後,Nd
2,面違,VC
2,者,Na
2,新聞,Na
2,文章,Na
2,刪除,VC
2,媒體,Na
2,來源,Na
2,壹蘋,Nb
2,新聞網,Na
2,記者,Na
2,署名,VC
2,記者,Na
2,蘇柏銓,Nb
2,台北,Nc
2,報導,VE
2,完整,VH
2,新聞,Na
2,標題,Na
2,副手,Na
2,辯論,VE
2,趙少康,Nb
2,當選,VG
2,捐出,VD
2,年,Nf
2,薪水,Na
2,官邸,Nc
2,變,VG
2,青年,Na
2,住宅,Na
2,完整,VH
2,新聞,Na
2,內文,Na
2,大選,Na
2,倒數,VA
2,天,Na
2,，,COMMACATEGORY
2,副總統,Na
2,候選人,Na
2,辯論會,Na
2,今,Nd
2,下午,Nd
2,時,Ng
2,正式,VH
2,登場,VA
2,，,COMMACATEGORY
2,國民黨,Nb
2,趙少康,Nb
2,民進黨,Nb
2,蕭美琴,Nb
2,民眾黨,Nb
2,吳欣盈,Nb
2,近,VH
2,身,Na
2,駁火,VA
2,，,COMMACATEGORY
2,替,P
2,各自,Nh
2,主帥,Na
2,辯駁,VE
2,，,COMMACATEGORY
2,爭取,VC
2,選民,Na
2,支持,VC
2,在,P
2,第,Neu
2,輪,Nf
2,申論,VE
2,環節,Na
2,，,COMMACATEGORY
2,趙少康,Nb
2,宣布,VE
2,，,COMMACATEGORY
2,當場,D
2,辭去,VC
2,中廣,Nc
2,董事長,Na
2,職,Na
2,，,COMMACATEGORY
2,並,Cbb
2,現場,Nc
2,簽名,VA
2,痛斥,VC
2,賴清德,Nb
2,的,DE
2,違建,Na
2,問題,Na
2,，,COMMACATEGORY
2,同時,Nd
2,他,Nh
2,也,D
2,現場,Nc
2,宣示,VE
2,，,COMMACATEGORY
2,若,Cbb
2,當選,VG
2,副總統,Na
2,後,Ng
2,，,COMMACATEGORY
2,他,Nh
2,年,Na
2,的,DE
2,副總統,Na
2,薪水,Na
2,跟,P
2,福利,Na
2,都,D
2,不,D
2,要,VC
2,，,COMMACATEGORY
2,仁愛路,Nc
2,的,DE
2,副總統,Na
2,官邸,Nc
2,也,D
2,不住,D
2,，,COMMACATEGORY
2,要,D
2,拿出來,VB
2,做,VG
2,青年,Na
2,住宅,Na
2,，,COMMACATEGORY
2,並且,Cbb
2,通通,D
2,免費,VH
2,水電費,Na
2,我,Nh
2,出,VC
2,趙少康,Nb
2,申論,VE
2,時,Ng
2,現場,Nc
2,拿出,VC
2,中廣,Nc
2,董事長,Na
2,辭職書,Na
2,，,COMMACATEGORY
2,表示,VE
2,我,Nh
2,要,D
2,宣布,VE
2,，,COMMACATEGORY
2,辭去,VC
2,中廣,Nc
2,董事長,Na
2,這,Nep
2,是,SHI
2,我,Nh
2,的,DE
2,辭職書,Na
2,，,COMMACATEGORY
2,我,Nh
2,現場,Nc
2,簽名,VA
2,趙少康,Nb
2,痛斥,VC
2,，,COMMACATEGORY
2,他,Nh
2,直,D
2,在,P
2,等,VC
2,賴清德,Nb
2,，,COMMACATEGORY
2,望穿,VC
2,秋水,Na
2,，,COMMACATEGORY
2,賴清德,Nb
2,的,DE
2,違建,Na
2,是,SHI
2,回,Nf
2,事,Na
2,，,COMMACATEGORY
2,他,Nh
2,旁邊,Ncd
2,的,DE
2,違法,Nv
2,房子,Na
2,國安,Na
2,租用,VC
2,，,COMMACATEGORY
2,特勤,A
2,使用,VC
2,還,D
2,幫,P
2,修繕,VC
2,，,COMMACATEGORY
2,幾,Neu
2,個,Nf
2,特勤,A
2,看守,VC
2,非法,A
2,的,DE
2,幽靈,Na
2,房屋,Na
2,，,COMMACATEGORY
2,還是,D
2,賴,Nb
2,兒子,Na
2,的,T
2,，,COMMACATEGORY
2,他,Nh
2,算,VG
2,幾,Neu
2,個,Nf
2,人,Na
2,，,COMMACATEGORY
2,個人,Nh
2,萬，,Neu
2,年,Nf
2,萬,Neu
2,，,COMMACATEGORY
2,年,Nf
2,萬,Neu
2,，,COMMACATEGORY
2,加上,VC
2,雜費,Na
2,，,COMMACATEGORY
2,總計,Da
2,花費,VC
2,萬,Neu
2,趙少康,Nb
2,進步,VH
2,表示,VE
2,，,COMMACATEGORY
2,辭掉,VC
2,中廣,Nc
2,董事長,Na
2,以外,Ng
2,，,COMMACATEGORY
2,他,Nh
2,也,D
2,深,VH
2,自,P
2,檢討,VE
2,，,COMMACATEGORY
2,副總統,Na
2,能,D
2,做,VC
2,什麼,Nep
2,，,COMMACATEGORY
2,因此,Cbb
2,他,Nh
2,鄭重,D
2,宣布,VE
2,，,COMMACATEGORY
2,當選,VG
2,後,Ng
